seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
0,25,full,25,39011,0,0,189098.54318253184,111703624266.23338,-0.04210044891321374,1.0116673610815012,0.8435415239726022,0.7309557812280223,8.937726736068726,16.10843849182129,success
0,50,full,50,39011,0,0,163863.9366558871,68747897068.98592,0.35864019750444043,0.9172070241978113,0.7698453663793107,0.5842228372096732,0.3714115619659424,10.677368640899658,success
0,75,full,75,39011,0,0,167210.16340823742,72102197766.74614,0.3273474056555865,0.877658049105747,0.7404747767857139,0.5677073084226244,0.390683650970459,10.88227128982544,success
0,100,full,100,39011,0,0,164215.3390586149,72484863850.62071,0.3237774543634143,0.9066841624423043,0.7715133196721309,0.5759332730937156,0.4084968566894531,11.023454427719116,success
0,200,full,200,39011,0,0,152324.85801580804,63054937586.17749,0.41175070015509396,0.9763524737154415,0.8209526978417262,0.6409107028168968,0.3071320056915283,14.439502000808716,success
0,300,full,300,39011,0,0,146477.93287330013,57219243026.386894,0.4661928004936101,0.9837566004955539,0.8353273065476187,0.6381174681535629,0.32097554206848145,15.441335678100586,success
0,400,full,400,39011,0,0,144371.9364025531,55971790273.91974,0.4778304808453747,1.0081878629991903,0.8583565193965519,0.6460232583989733,0.33715057373046875,16.882051467895508,success
0,500,full,500,39011,0,0,138389.91452731282,51290381635.86367,0.5215040686569667,1.0468352041494398,0.8905202343749997,0.6683897731976584,0.3474154472351074,18.250181913375854,success
0,600,full,600,39011,0,0,138432.63019985548,50590333856.69583,0.5280349230470873,1.0266470527309424,0.8679707142857147,0.6660669435611642,0.3686537742614746,20.355677843093872,success
0,700,full,700,39011,0,0,134417.80388564282,48413434019.5331,0.548343559516568,1.0716715345245078,0.9046378499034755,0.6927573772931146,0.38014960289001465,21.639046669006348,success
0,800,full,800,39011,0,0,134094.03837118857,47844038913.57646,0.5536555348389816,1.0756560641852737,0.9058909269323667,0.7003640318247816,0.39169859886169434,23.145950317382812,success
0,900,full,900,39011,0,0,133662.21043944336,47467136877.00375,0.5571717124392052,1.075093298676641,0.9062374393203876,0.6954337485669962,0.4050009250640869,24.789379358291626,success
0,1000,full,1000,39011,0,0,133053.56345385755,46800782572.39997,0.5633882351753683,1.066625802872504,0.9022845670391063,0.6834559139162224,0.4211997985839844,26.022650718688965,success
0,2000,full,2000,39011,0,0,130818.31923527979,46113205058.61218,0.5698027525241798,1.0614003116703543,0.9013661309523814,0.6696016541232555,0.639063835144043,28.74516749382019,success
0,3000,full,3000,39011,0,0,135740.32882952885,48839346126.75538,0.544370159360132,0.985016448091246,0.8408558593749995,0.6125600278648505,0.8385009765625,42.422327756881714,success
