seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status,tune_time
0,25,full,25,39011,0,0,180775.3417069064,100229624624.44867,0.0649422746875492,0.9961902130037893,0.8333236607142864,0.7018647828908476,3.5344948768615723,0.0176846981048584,success,3.026202440261841
0,50,full,50,39011,0,0,177490.0614966772,92983292051.92809,0.13254443599970311,0.92625496605717,0.7785248214285712,0.6224624299702335,2.2430036067962646,0.016458749771118164,success,2.2143640518188477
0,75,full,75,39011,0,0,172689.9232155674,85613676339.35095,0.20129672486089845,0.9018038330965397,0.7664014423076922,0.5941938122189689,2.145934581756592,0.01582813262939453,success,2.0755462646484375
0,100,full,100,39011,0,0,174423.92400340608,89369108158.23932,0.16626171852127392,0.9188984923292659,0.7788104346970891,0.6121020684528098,6.193453073501587,0.021267414093017578,success,6.112832069396973
0,200,full,200,39011,0,0,161652.07455489316,75488141080.99039,0.29575941492612856,0.979637222508264,0.8235285937499996,0.6587640609146675,7.270868539810181,0.0298001766204834,success,6.899285316467285
0,300,full,300,39011,0,0,157251.3250982095,69092231864.95987,0.35542784474670297,0.988845097372234,0.8287606370192303,0.6737140114614155,8.424296855926514,0.036997079849243164,success,8.19426679611206
0,400,full,400,39011,0,0,151893.81606449944,64079752353.945656,0.4021900441194516,1.0271152527032268,0.8594555468749996,0.685692496867188,8.551364421844482,0.03802800178527832,success,8.343395709991455
0,500,full,500,39011,0,0,150073.7439572332,61327039555.10807,0.42787052908349166,1.0118172780551793,0.8455811661073819,0.6737918689810619,9.304133415222168,0.028956174850463867,success,9.178488731384277
0,600,full,600,39011,0,0,150055.64406853996,59838637012.046394,0.44175606743085405,0.982339231105683,0.8197700831024934,0.6546776770081518,9.186991691589355,0.026690959930419922,success,9.060494422912598
0,700,full,700,39011,0,0,149373.0321758206,60097903943.47274,0.43933732598533215,0.9988380370235793,0.8339933593749995,0.6693609966704089,9.387279033660889,0.026414871215820312,success,9.255553960800171
0,800,full,800,39011,0,0,144162.05909190673,55562297138.29538,0.48165070586729486,1.0142679511490336,0.8518227430555563,0.6653029953909251,9.675868272781372,0.057022809982299805,success,9.24009394645691
0,900,full,900,39011,0,0,147761.4585819945,59701105214.01195,0.4430391229217838,1.0189078215289802,0.8523643249045806,0.6775497541144824,9.916178464889526,0.024934053421020508,success,9.783416032791138
0,1000,full,1000,39011,0,0,144691.5825920894,55998283617.020004,0.47758332033541495,1.0113053666066667,0.8513636718750005,0.6603250716213718,10.058320999145508,0.0430910587310791,success,9.785082578659058
0,2000,full,2000,39011,0,0,137883.5102012493,51866730418.29269,0.516127221407424,1.03142688208624,0.8784154891304347,0.658821627149772,11.803858518600464,0.05649709701538086,success,11.291125774383545
0,3000,full,3000,39011,0,0,146232.85300359994,56480453308.4469,0.4730850844438853,0.9366129169010264,0.7983699912891993,0.5908875330210381,12.358694791793823,0.0551457405090332,success,11.852163076400757
0,4000,full,4000,39011,0,0,141462.30944517252,53373639466.331024,0.5020690330026379,0.9699189208030105,0.8252119766009848,0.612657011804856,13.35685682296753,0.05246448516845703,success,12.821003913879395
0,5000,full,5000,39011,0,0,137924.96256284282,51039663897.327065,0.5238430533550531,0.9999741716632383,0.8458921542553193,0.6368285410213358,14.374518156051636,0.05604100227355957,success,13.754926919937134
0,6000,full,6000,39011,0,0,133681.4172585136,48374341939.091736,0.5487082556027021,1.031106802227797,0.8719653764204549,0.6551909993836071,14.70598578453064,0.053151607513427734,success,14.115442037582397
0,7000,full,7000,39011,0,0,131832.2994297682,47161895509.01572,0.5600193565393561,1.0443772648110083,0.8839272772606376,0.6642931321034793,17.635141849517822,0.05594635009765625,success,16.971451997756958
0,8000,full,8000,39011,0,0,130796.13064123741,46429762735.376,0.5668495368229931,1.0556779261871663,0.8930189102564103,0.6702859807384508,16.2955584526062,0.05540180206298828,success,15.659993410110474
0,9000,full,9000,39011,0,0,129104.19759130437,44879015134.87083,0.5813167018881649,1.0654854000388736,0.9003853591160219,0.6749020987321407,16.114493370056152,0.05250954627990723,success,15.469571352005005
0,10000,full,10000,39011,0,0,126750.68094575888,43629911260.47052,0.5929697858127236,1.0907657597087381,0.9256327319587622,0.6894255022550619,17.015094995498657,0.046898841857910156,success,16.4548180103302
100,25,full,25,39011,0,0,208331.27088914023,125190495921.35023,-0.16792156795528168,0.8251425098073698,0.6863333984374996,0.594882334593831,2.0168824195861816,0.010924816131591797,success,1.9435696601867676
100,50,full,50,39011,0,0,183887.74640926596,105066680716.81128,0.01981662761583447,1.0593325657785082,0.8769929901541098,0.7764492917743674,2.1038262844085693,0.010568380355834961,success,2.037705183029175
100,75,full,75,39011,0,0,182443.55047214247,104720153757.41841,0.02304943140636473,1.026612400958965,0.8548733072916661,0.7447317030268108,2.1317825317382812,0.009377479553222656,success,2.067077875137329
100,100,full,100,39011,0,0,161700.24396083798,76435290100.03615,0.28692331471524524,1.1259597596618114,0.9385818910256413,0.7825297608006406,5.874135971069336,0.015385150909423828,success,5.806704044342041
100,200,full,200,39011,0,0,156480.9564019203,70589841518.79694,0.3414564118338308,1.0835521893792248,0.8984736328125005,0.7503943113925851,7.187352895736694,0.022424697875976562,success,7.095699071884155
100,300,full,300,39011,0,0,154368.00617834553,68088383509.44264,0.3647929018681443,1.0583601980914403,0.8818763554216874,0.720156094210639,7.930302381515503,0.028126001358032227,success,7.81658935546875
100,400,full,400,39011,0,0,153661.63211117536,65846255124.969345,0.38571006557996657,1.076077491026028,0.894682021604938,0.7360132050896135,8.64927864074707,0.02644801139831543,success,8.533751964569092
100,500,full,500,39011,0,0,151508.57750958865,63779379406.65327,0.40499226996727855,1.073092677093707,0.8905297619047614,0.730939405417479,8.937760353088379,0.027712106704711914,success,8.813790321350098
100,600,full,600,39011,0,0,146313.15498172792,59280299205.24942,0.4469648874931431,1.0902147371113509,0.912600810185186,0.7256745218293607,9.494537591934204,0.026732921600341797,success,9.358778238296509
100,700,full,700,39011,0,0,142713.97650983057,55820487661.4325,0.4792420064017783,1.117651340084675,0.9386397988505739,0.7395211629303589,9.847766876220703,0.04048514366149902,success,9.602246284484863
100,800,full,800,39011,0,0,142090.63947288104,55276165723.72473,0.484320070245854,1.067477282588791,0.9056593191964292,0.7005329659070422,10.204859495162964,0.05752372741699219,success,9.756783723831177
100,900,full,900,39011,0,0,146705.1543048355,59944890090.15175,0.4407648159730849,1.0330656585158948,0.8701563322368414,0.6788997603125838,9.978514909744263,0.027022361755371094,success,9.831706762313843
100,1000,full,1000,39011,0,0,140999.82242788892,54287317755.65331,0.49354518642452083,1.063293024816572,0.9027306402439025,0.6918277649370862,11.055794477462769,0.05727386474609375,success,10.59197187423706
100,2000,full,2000,39011,0,0,137569.05436086937,51743407506.935524,0.5172777199891019,1.0691423814478351,0.9021347222222217,0.698854826817928,12.617250204086304,0.052800893783569336,success,12.1271493434906
100,3000,full,3000,39011,0,0,133610.95740043675,48334547504.11346,0.5490795040633274,1.0660928392069744,0.899810441616767,0.6930042367268991,12.824666976928711,0.05366110801696777,success,12.236660957336426
100,4000,full,4000,39011,0,0,131740.86644672335,46622526426.22392,0.5650512144311608,1.0778608707329222,0.9095870588235302,0.7013507947182954,13.688632726669312,0.0523533821105957,success,13.146929502487183
100,5000,full,5000,39011,0,0,132178.8611387253,46654826842.807335,0.564749878831329,1.0714561331927446,0.8999281926895302,0.7001845917982776,14.04607892036438,0.053236961364746094,success,13.397960424423218
100,6000,full,6000,39011,0,0,130535.46123429129,46044645803.80873,0.5704423524536999,1.081432030064837,0.9128540853658544,0.6973701762811252,15.287695407867432,0.05122685432434082,success,14.628837823867798
100,7000,full,7000,39011,0,0,130621.93585423022,46010544954.51455,0.5707604845697457,1.0585122832273721,0.8979014112903225,0.6730952764050411,16.48659658432007,0.05352282524108887,success,15.866876125335693
100,8000,full,8000,39011,0,0,129624.58984024537,45132456379.906166,0.5789523091752216,1.0667655266499543,0.9044059719750895,0.6784774023820471,20.664732456207275,0.052703857421875,success,20.017728328704834
100,9000,full,9000,39011,0,0,130957.12311090942,46229865935.451454,0.5687144050965702,1.0583849254631181,0.8977430555555554,0.6756569298349056,17.158543586730957,0.11362123489379883,success,15.57212209701538
100,10000,full,10000,39011,0,0,130421.3680270068,46077764601.668594,0.5701333820479146,1.0668629813383306,0.9028543719211818,0.6852509301122038,17.78939723968506,0.11624646186828613,success,16.312231063842773
200,25,full,25,39011,0,0,162109.2764989362,70109957899.28151,0.3459333206056645,1.2531519171722352,1.0318440909090907,0.8902820526770027,2.0258541107177734,0.011310338973999023,success,1.9297678470611572
200,50,full,50,39011,0,0,158042.3230667312,61231469795.43597,0.42876211420538046,1.2676010301454268,1.0447306999999997,0.8866814394343224,2.1253199577331543,0.014527082443237305,success,2.0245473384857178
200,75,full,75,39011,0,0,159080.2079117108,67396519011.84481,0.3712474131543261,1.1573820446224694,0.9617722656249996,0.794532083573573,2.1059014797210693,0.007292032241821289,success,2.078562021255493
200,100,full,100,39011,0,0,158414.24867585424,66899390164.643524,0.3758852053319679,1.1559932876059356,0.9710895166256154,0.8003604526566873,5.762639999389648,0.01839613914489746,success,5.692183971405029
200,200,full,200,39011,0,0,150127.44366813207,56681151451.50601,0.47121274031582494,1.1103266468947794,0.9273589883551671,0.7706132302695027,7.111872673034668,0.02803969383239746,success,6.929719924926758
200,300,full,300,39011,0,0,149325.3356457153,59846351743.80544,0.441684095500828,1.0246813703778053,0.8590282085561497,0.7020486242319652,7.845260858535767,0.02694845199584961,success,7.736984491348267
200,400,full,400,39011,0,0,149436.300340569,60933077916.219604,0.4315458583616337,1.0343760166211364,0.8701093750000007,0.6972995268163042,8.411937713623047,0.02868342399597168,success,8.297422409057617
200,500,full,500,39011,0,0,143842.049126969,56427814173.85535,0.47357616310089934,1.0774580203368185,0.9025108404710922,0.7315776375113914,8.889976501464844,0.02838587760925293,success,8.755396604537964
200,600,full,600,39011,0,0,148400.33990983712,55443702433.92074,0.48275709427214175,1.2009234385743548,0.993351639344263,0.9000147895432715,9.630990505218506,0.01899552345275879,success,9.430918216705322
200,700,full,700,39011,0,0,137673.70938004664,49457272855.2871,0.5386054249978555,1.128903360916962,0.9400587857142862,0.7916828458442768,9.784541368484497,0.05894327163696289,success,9.308630228042603
200,800,full,800,39011,0,0,140136.11813715202,52993210951.84004,0.5056181096627251,1.1062905794141962,0.9272772804054051,0.7487278268295174,9.488080978393555,0.02543330192565918,success,9.357282161712646
200,900,full,900,39011,0,0,136942.17007482666,48823362649.57784,0.5445192716996046,1.1077054079749808,0.9295607876712323,0.7492493595783419,10.319504261016846,0.045192718505859375,success,10.061336040496826
200,1000,full,1000,39011,0,0,138518.35658592288,51233168726.40664,0.5220378167696216,1.079619949175286,0.9074480168269224,0.7157618048534928,13.528804063796997,0.024783611297607422,success,13.395329475402832
200,2000,full,2000,39011,0,0,134460.19473093326,48789135336.0956,0.5448385836196898,1.0802015024218234,0.9135643092105263,0.7063317077666231,11.61775016784668,0.05472230911254883,success,11.044485807418823
200,3000,full,3000,39011,0,0,132633.8588176652,47553493005.11001,0.5563660827162926,1.0753526826444446,0.9087254723837204,0.6946366042928135,13.027751684188843,0.05366921424865723,success,12.442054510116577
200,4000,full,4000,39011,0,0,130876.28633089866,46227857237.837326,0.5687331445483934,1.081063391303306,0.9146941666666659,0.6946937511739629,13.232030391693115,0.05314278602600098,success,12.684042930603027
