fips,filename,row_count,file_size_bytes,file_size_mb
1001,fips_1001.csv,5342,4483063,4.28
1003,fips_1003.csv,26446,22800791,21.74
1005,fips_1005.csv,608,527759,0.5
1007,fips_1007.csv,656,564273,0.54
1009,fips_1009.csv,3541,3043710,2.9
1011,fips_1011.csv,87,73958,0.07
1013,fips_1013.csv,514,438642,0.42
1015,fips_1015.csv,8675,7457419,7.11
1017,fips_1017.csv,2505,2160538,2.06
1019,fips_1019.csv,2355,1985239,1.89
1021,fips_1021.csv,2360,2040465,1.95
1025,fips_1025.csv,313,267618,0.26
1027,fips_1027.csv,943,816770,0.78
1029,fips_1029.csv,294,252969,0.24
1031,fips_1031.csv,5671,4878259,4.65
1033,fips_1033.csv,6694,5772094,5.5
1035,fips_1035.csv,638,549452,0.52
1037,fips_1037.csv,481,415565,0.4
1039,fips_1039.csv,3275,2836178,2.7
1041,fips_1041.csv,17,17069,0.02
1043,fips_1043.csv,9285,7932487,7.57
1045,fips_1045.csv,3898,3387553,3.23
1047,fips_1047.csv,1508,1303402,1.24
1049,fips_1049.csv,4159,3595512,3.43
1051,fips_1051.csv,9295,7945416,7.58
1053,fips_1053.csv,755,656655,0.63
1057,fips_1057.csv,854,737057,0.7
1059,fips_1059.csv,2112,1826354,1.74
1061,fips_1061.csv,2646,2282039,2.18
1065,fips_1065.csv,74,64843,0.06
1067,fips_1067.csv,667,576451,0.55
1069,fips_1069.csv,10054,8764796,8.36
1071,fips_1071.csv,432,375452,0.36
1073,fips_1073.csv,69136,59954595,57.18
1075,fips_1075.csv,34,31172,0.03
1077,fips_1077.csv,7455,6495930,6.2
1079,fips_1079.csv,471,404124,0.39
1081,fips_1081.csv,5567,4509233,4.3
1083,fips_1083.csv,10014,8380839,7.99
1085,fips_1085.csv,165,143188,0.14
1087,fips_1087.csv,2,4209,0.0
1089,fips_1089.csv,39180,32453986,30.95
1091,fips_1091.csv,723,619816,0.59
1093,fips_1093.csv,1172,1006628,0.96
1095,fips_1095.csv,8314,7098931,6.77
1097,fips_1097.csv,35414,30071460,28.68
1099,fips_1099.csv,879,749267,0.71
1101,fips_1101.csv,22071,19105313,18.22
1103,fips_1103.csv,13368,11487370,10.96
1105,fips_1105.csv,129,98453,0.09
1107,fips_1107.csv,311,265729,0.25
1109,fips_1109.csv,1486,1277963,1.22
1111,fips_1111.csv,2259,1935437,1.85
1113,fips_1113.csv,2437,2110837,2.01
1115,fips_1115.csv,6995,5927082,5.65
1117,fips_1117.csv,21514,18176514,17.33
1119,fips_1119.csv,853,645652,0.62
1121,fips_1121.csv,6320,5460460,5.21
1123,fips_1123.csv,410,352283,0.34
1125,fips_1125.csv,16518,14290171,13.63
1127,fips_1127.csv,5768,4979562,4.75
1131,fips_1131.csv,329,281157,0.27
1133,fips_1133.csv,2755,2340747,2.23
2016,fips_2016.csv,34,29755,0.03
2020,fips_2020.csv,14170,12289863,11.72
2060,fips_2060.csv,2,3043,0.0
2063,fips_2063.csv,9,9755,0.01
2090,fips_2090.csv,5549,4594640,4.38
2100,fips_2100.csv,88,73312,0.07
2110,fips_2110.csv,1792,1519890,1.45
2122,fips_2122.csv,2583,2172973,2.07
2130,fips_2130.csv,458,403481,0.38
2150,fips_2150.csv,615,510964,0.49
2170,fips_2170.csv,10632,9115164,8.69
2180,fips_2180.csv,133,93380,0.09
2185,fips_2185.csv,19,18154,0.02
2220,fips_2220.csv,382,305374,0.29
2232,fips_2232.csv,42,15855,0.02
2261,fips_2261.csv,2,3084,0.0
2275,fips_2275.csv,16,15514,0.01
4001,fips_4001.csv,1387,1151886,1.1
4003,fips_4003.csv,12825,10788756,10.29
4005,fips_4005.csv,9263,7769893,7.41
4007,fips_4007.csv,8735,7264263,6.93
4009,fips_4009.csv,2557,2185691,2.08
4011,fips_4011.csv,276,231594,0.22
4012,fips_4012.csv,1507,1201494,1.15
4013,fips_4013.csv,499748,426244341,406.5
4015,fips_4015.csv,23856,20347671,19.41
4017,fips_4017.csv,8135,6895984,6.58
4019,fips_4019.csv,83222,71101207,67.81
4021,fips_4021.csv,60739,51580891,49.19
4023,fips_4023.csv,2252,1948304,1.86
4025,fips_4025.csv,22389,18888108,18.01
4027,fips_4027.csv,17261,14748724,14.07
5001,fips_5001.csv,1201,1031869,0.98
5003,fips_5003.csv,981,833169,0.79
5005,fips_5005.csv,6716,5798915,5.53
5007,fips_5007.csv,35550,30459854,29.05
5009,fips_5009.csv,4434,3822645,3.65
5011,fips_5011.csv,624,533150,0.51
5013,fips_5013.csv,206,175192,0.17
5015,fips_5015.csv,2186,1869283,1.78
5017,fips_5017.csv,568,486620,0.46
5019,fips_5019.csv,1311,1129963,1.08
5021,fips_5021.csv,1697,1446136,1.38
5023,fips_5023.csv,3318,2851515,2.72
5025,fips_5025.csv,523,421765,0.4
5027,fips_5027.csv,1656,1262761,1.2
5029,fips_5029.csv,1793,1517856,1.45
5031,fips_5031.csv,9410,7919125,7.55
5033,fips_5033.csv,4187,3609144,3.44
5035,fips_5035.csv,4630,3969467,3.79
5037,fips_5037.csv,1220,1060647,1.01
5039,fips_5039.csv,315,268976,0.26
5041,fips_5041.csv,597,501165,0.48
5043,fips_5043.csv,1336,1145281,1.09
5045,fips_5045.csv,12285,10531518,10.04
5047,fips_5047.csv,990,856815,0.82
5049,fips_5049.csv,1707,1012661,0.97
5051,fips_5051.csv,9359,8076971,7.7
5053,fips_5053.csv,1211,969362,0.92
5055,fips_5055.csv,3951,3242299,3.09
5057,fips_5057.csv,855,724194,0.69
5059,fips_5059.csv,2073,1783826,1.7
5061,fips_5061.csv,689,598149,0.57
5063,fips_5063.csv,2887,2425095,2.31
5065,fips_5065.csv,1493,1265584,1.21
5067,fips_5067.csv,1124,968970,0.92
5069,fips_5069.csv,6071,5116202,4.88
5071,fips_5071.csv,2367,2030206,1.94
5073,fips_5073.csv,335,265614,0.25
5075,fips_5075.csv,1180,964060,0.92
5077,fips_5077.csv,323,260442,0.25
5079,fips_5079.csv,506,422458,0.4
5081,fips_5081.csv,637,544242,0.52
5083,fips_5083.csv,2284,1969296,1.88
5085,fips_5085.csv,8244,6958412,6.64
