fips,APPRAISED_TOTAL_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_YEAR,CALCULATED_TOTAL_VALUE,CALCULATED_TOTAL_VALUE_SOURCE_CODE,CENSUS_ID,CLIP,MARKET_TOTAL_VALUE,MULTI_OR_SPLIT_PARCEL_CODE,NET_TAX_AMOUNT,OWNER_TRANSFER_COMPOSITE_TRANSACTION_ID,PREVIOUS_CLIP,SALE_AMOUNT,SALE_YEAR,TAX_RATE_AREA_CODE,TAX_YEAR,TOTAL_TAX_AMOUNT,Unnamed: 0,address,block_group,block_group_id,car_bsmt_fin_miss,census_med_age_bg,census_med_age_tract,census_med_hh_inc_bg,census_med_hh_inc_tract,census_med_per_cap_inc_bg,census_med_per_cap_inc_tract,census_med_rent_bg,census_med_rent_tract,census_med_yr_built_bg,census_med_yr_built_tract,census_pct_children_bg,census_pct_children_tract,census_pct_college_bg,census_pct_college_tract,census_pct_graduate_bg,census_pct_graduate_tract,census_pct_high_school_bg,census_pct_high_school_tract,census_pct_married_hh_bg,census_pct_married_hh_tract,census_pct_poverty_bg,census_pct_poverty_tract,census_pct_renter_occ_bg,census_pct_renter_occ_tract,census_pct_senior_bg,census_pct_senior_tract,census_pct_single_hh_bg,census_pct_single_hh_tract,census_pct_snap_bg,census_pct_snap_tract,census_unemp_rate_bg,census_unemp_rate_tract,char_air_cat,char_air_central,char_air_miss,char_base_fin_sf,char_base_fin_sf_miss,char_base_unfin_sf,char_base_unfin_sf_miss,char_basement_unfin,char_beds,char_beds_miss,char_bldg_sf,char_bldg_sf_miss,char_bq_abavg,char_bq_avg,char_bq_blavg,char_bq_cat,char_bq_econ,char_bq_exc,char_bq_fa,char_bq_go,char_bq_lo,char_bq_lux,char_bq_miss,char_bq_ordinal,char_bq_po,char_bsmt_cat,char_bsmt_cel,char_bsmt_fin_cat,char_bsmt_fin_par,char_bsmt_miss,char_bsmt_slab,char_depth_sf,char_depth_sf_miss,char_elec_cat,char_elec_miss,char_ext_wall_cat,char_ext_wall_miss,char_fbath,char_fbath_miss,char_floor_cat,char_floor_miss,char_found_cat,char_found_miss,char_frontage_sf,char_frontage_sf_miss,char_fuel_typ_cat,char_fuel_typ_miss,char_gar1_cat,char_gar1_cnst_miss,char_gar1_sf,char_gar1_sf_miss,char_gar1_size,char_gar1_size_miss,char_ground_sf,char_ground_sf_miss,char_has_frpl,char_has_pool,char_hbath,char_hbath_miss,char_heat_cat,char_heat_miss,char_land_sf,char_land_sf_miss,char_n_frpl,char_n_frpl_miss,char_nbath,char_nbath_miss,char_no_bsmt,char_roof_material_cat,char_roof_miss,char_second_sf,char_second_sf_miss,char_sewer_cat,char_sewer_miss,char_stories,char_stories_miss,char_style_cat,char_style_miss,char_water_cat,char_water_miss,char_yrblt,char_yrblt_miss,latitude,longitude,meta_sfh,sale_date,tract,tract_id
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
