feature_name,n_counties,pct_counties,coverage_tier
Unnamed: 0,2850,100.0,100%
ASSESSED_YEAR,2850,100.0,100%
CENSUS_ID,2850,100.0,100%
fips,2850,100.0,100%
MARKET_TOTAL_VALUE,2850,100.0,100%
latitude,2850,100.0,100%
longitude,2850,100.0,100%
address,2850,100.0,100%
TAX_YEAR,2850,100.0,100%
TOTAL_TAX_AMOUNT,2850,100.0,100%
NET_TAX_AMOUNT,2850,100.0,100%
TAX_RATE_AREA_CODE,2850,100.0,100%
meta_sfh,2850,100.0,100%
char_yrblt,2850,100.0,100%
char_yrblt_miss,2850,100.0,100%
char_air_central,2850,100.0,100%
char_air_miss,2850,100.0,100%
char_air_cat,2850,100.0,100%
char_beds,2850,100.0,100%
char_beds_miss,2850,100.0,100%
char_bldg_sf,2850,100.0,100%
char_bldg_sf_miss,2850,100.0,100%
char_ground_sf,2850,100.0,100%
char_ground_sf_miss,2850,100.0,100%
char_second_sf,2850,100.0,100%
char_second_sf_miss,2850,100.0,100%
char_base_fin_sf,2850,100.0,100%
char_base_fin_sf_miss,2850,100.0,100%
char_base_unfin_sf,2850,100.0,100%
char_base_unfin_sf_miss,2850,100.0,100%
char_stories,2850,100.0,100%
char_stories_miss,2850,100.0,100%
char_bsmt_miss,2850,100.0,100%
char_no_bsmt,2850,100.0,100%
char_bsmt_cel,2850,100.0,100%
char_bsmt_slab,2850,100.0,100%
char_bsmt_cat,2850,100.0,100%
car_bsmt_fin_miss,2850,100.0,100%
char_bsmt_fin_par,2850,100.0,100%
char_basement_unfin,2850,100.0,100%
char_bsmt_fin_cat,2850,100.0,100%
char_ext_wall_miss,2850,100.0,100%
char_ext_wall_cat,2850,100.0,100%
char_nbath,2850,100.0,100%
char_nbath_miss,2850,100.0,100%
char_fbath,2850,100.0,100%
char_fbath_miss,2850,100.0,100%
char_hbath,2850,100.0,100%
char_hbath_miss,2850,100.0,100%
char_has_frpl,2850,100.0,100%
char_n_frpl,2850,100.0,100%
char_n_frpl_miss,2850,100.0,100%
char_gar1_cnst_miss,2850,100.0,100%
char_gar1_cat,2850,100.0,100%
char_gar1_size,2850,100.0,100%
char_gar1_size_miss,2850,100.0,100%
char_gar1_sf,2850,100.0,100%
char_gar1_sf_miss,2850,100.0,100%
char_has_pool,2850,100.0,100%
char_floor_cat,2850,100.0,100%
char_floor_miss,2850,100.0,100%
char_bq_avg,2850,100.0,100%
char_bq_blavg,2850,100.0,100%
char_bq_econ,2850,100.0,100%
char_bq_exc,2850,100.0,100%
char_bq_fa,2850,100.0,100%
char_bq_go,2850,100.0,100%
char_bq_lo,2850,100.0,100%
char_bq_lux,2850,100.0,100%
char_bq_po,2850,100.0,100%
char_bq_abavg,2850,100.0,100%
char_bq_ordinal,2850,100.0,100%
char_bq_miss,2850,100.0,100%
char_bq_cat,2850,100.0,100%
char_land_sf,2850,100.0,100%
char_land_sf_miss,2850,100.0,100%
char_frontage_sf,2850,100.0,100%
char_frontage_sf_miss,2850,100.0,100%
char_depth_sf,2850,100.0,100%
char_depth_sf_miss,2850,100.0,100%
char_heat_miss,2850,100.0,100%
char_heat_cat,2850,100.0,100%
char_roof_miss,2850,100.0,100%
char_roof_material_cat,2850,100.0,100%
char_style_miss,2850,100.0,100%
char_style_cat,2850,100.0,100%
char_found_miss,2850,100.0,100%
char_found_cat,2850,100.0,100%
char_fuel_typ_cat,2850,100.0,100%
char_fuel_typ_miss,2850,100.0,100%
char_sewer_cat,2850,100.0,100%
char_sewer_miss,2850,100.0,100%
char_water_cat,2850,100.0,100%
char_water_miss,2850,100.0,100%
char_elec_cat,2850,100.0,100%
char_elec_miss,2850,100.0,100%
CLIP,2850,100.0,100%
SALE_AMOUNT,2850,100.0,100%
SALE_YEAR,2850,100.0,100%
MULTI_OR_SPLIT_PARCEL_CODE,2850,100.0,100%
PREVIOUS_CLIP,2850,100.0,100%
OWNER_TRANSFER_COMPOSITE_TRANSACTION_ID,2850,100.0,100%
sale_date,2850,100.0,100%
ASSESSED_TOTAL_VALUE,2850,100.0,100%
APPRAISED_TOTAL_VALUE,2850,100.0,100%
CALCULATED_TOTAL_VALUE,2850,100.0,100%
CALCULATED_TOTAL_VALUE_SOURCE_CODE,2850,100.0,100%
tract,2850,100.0,100%
block_group,2850,100.0,100%
census_pct_children_tract,2850,100.0,100%
census_pct_senior_tract,2850,100.0,100%
