fips,row_count
19153,52466
12117,43959
13117,33290
45083,31567
37097,28810
13057,24887
37025,23607
13139,22400
37129,22325
13223,21319
19113,20342
37101,15608
27109,15242
13097,14868
13153,13351
39103,12348
53073,11821
13045,10760
45041,10081
19061,9479
5051,9359
13247,8187
41071,8072
13255,7737
39029,7215
30029,5389
21125,5063
19181,5016
40051,4553
39145,4039
31053,4001
40071,3968
31157,3743
31111,3730
13233,3681
31119,3416
39135,3336
21019,3315
21083,3252
21009,3141
40097,2932
27047,2871
42111,2822
40115,2649
30081,2555
40081,2433
19123,2192
20055,2180
13293,2117
27045,1818
19097,1747
27055,1689
19087,1645
40039,1566
31131,1491
21161,1463
31033,1411
30053,1354
30047,1265
19005,1241
31159,1140
31147,1009
31095,916
37041,891
19133,875
21115,812
31043,729
40063,695
31011,674
31105,647
31037,625
31169,575
31129,545
30089,541
21091,536
31029,520
40011,504
31097,462
21055,447
31161,443
30027,416
21139,413
31167,400
31003,376
30087,352
30035,331
40045,144
