state,feature,n_counties_total,n_counties_with_feature,pct_coverage
01,char_air_cat_0,62,0,0.0
01,char_air_cat_000,62,0,0.0
01,char_air_cat_001,62,2,3.23
01,char_air_cat_1,62,0,0.0
01,char_air_cat_ACA,62,0,0.0
01,char_air_cat_ACE,62,14,22.58
01,char_air_cat_ACH,62,0,0.0
01,char_air_cat_ACW,62,0,0.0
01,char_air_cat_ADU,62,1,1.61
01,char_air_cat_AEV,62,0,0.0
01,char_air_cat_AFA,62,1,1.61
01,char_air_cat_AHT,62,0,0.0
01,char_air_cat_APF,62,0,0.0
01,char_air_cat_APK,62,1,1.61
01,char_air_cat_APR,62,0,0.0
01,char_air_cat_ASE,62,0,0.0
01,char_air_cat_ASP,62,0,0.0
01,char_air_cat_AWA,62,0,0.0
01,char_air_cat_AWI,62,0,0.0
01,char_air_cat_AWN,62,0,0.0
01,char_air_cat_infrequent_sklearn,62,10,16.13
01,char_air_cat_missing,62,16,25.81
01,char_air_central,62,26,41.94
01,char_air_miss,62,29,46.77
01,char_base_fin_sf,62,0,0.0
01,char_base_fin_sf_miss,62,24,38.71
01,char_base_unfin_sf,62,0,0.0
01,char_base_unfin_sf_miss,62,23,37.1
01,char_basement_unfin,62,1,1.61
01,char_beds,62,4,6.45
01,char_beds_miss,62,20,32.26
01,char_bldg_sf,62,62,100.0
01,char_bldg_sf_miss,62,59,95.16
01,char_bq_abavg,62,3,4.84
01,char_bq_avg,62,8,12.9
01,char_bq_blavg,62,3,4.84
01,char_bq_cat_001,62,2,3.23
01,char_bq_cat_999,62,0,0.0
01,char_bq_cat_QAV,62,8,12.9
01,char_bq_cat_QBA,62,1,1.61
01,char_bq_cat_QEC,62,0,0.0
01,char_bq_cat_QEX,62,1,1.61
01,char_bq_cat_QFA,62,5,8.06
01,char_bq_cat_QGO,62,4,6.45
01,char_bq_cat_QLO,62,2,3.23
01,char_bq_cat_QLU,62,0,0.0
01,char_bq_cat_QPO,62,2,3.23
01,char_bq_cat_QVV,62,2,3.23
01,char_bq_cat_infrequent_sklearn,62,8,12.9
01,char_bq_cat_missing,62,7,11.29
01,char_bq_econ,62,0,0.0
01,char_bq_exc,62,4,6.45
01,char_bq_fa,62,6,9.68
01,char_bq_go,62,5,8.06
01,char_bq_lo,62,2,3.23
01,char_bq_lux,62,0,0.0
01,char_bq_miss,62,9,14.52
01,char_bq_ordinal,62,8,12.9
01,char_bq_po,62,3,4.84
01,char_bsmt_cat_000,62,0,0.0
01,char_bsmt_cat_001,62,0,0.0
01,char_bsmt_cat_999,62,0,0.0
