feature_name,n_counties,pct_counties,coverage_tier
sale_day_of_year,2828,99.54,90-99%
sale_month,2828,99.54,90-99%
sale_day,2828,99.54,90-99%
sale_day_of_month,2827,99.51,90-99%
sale_day_of_week,2825,99.44,90-99%
char_land_sf,2790,98.2,90-99%
char_yrblt_miss,2415,85.01,75-89%
char_bldg_sf_miss,2397,84.37,75-89%
char_gar1_cnst_miss,2325,81.84,75-89%
char_bldg_sf,2318,81.59,75-89%
char_yrblt,2225,78.32,75-89%
char_gar1_sf_miss,2144,75.47,75-89%
char_stories_miss,2121,74.66,50-74%
char_nbath_miss,2094,73.71,50-74%
char_fbath_miss,2088,73.5,50-74%
char_heat_miss,2048,72.09,50-74%
char_has_frpl,2025,71.28,50-74%
char_ext_wall_miss,1963,69.1,50-74%
char_hbath_miss,1933,68.04,50-74%
char_beds_miss,1914,67.37,50-74%
char_n_frpl_miss,1872,65.89,50-74%
char_fbath,1842,64.84,50-74%
char_frontage_sf_miss,1824,64.2,50-74%
char_roof_miss,1823,64.17,50-74%
char_stories,1806,63.57,50-74%
char_depth_sf_miss,1797,63.25,50-74%
char_ext_wall_cat_infrequent_sklearn,1770,62.3,50-74%
char_heat_cat_infrequent_sklearn,1669,58.75,50-74%
char_air_miss,1609,56.63,50-74%
char_base_fin_sf_miss,1507,53.04,50-74%
char_bsmt_miss,1498,52.73,50-74%
char_heat_cat_missing,1491,52.48,50-74%
char_ext_wall_cat_missing,1468,51.67,50-74%
char_beds,1442,50.76,50-74%
char_gar1_cat_missing,1427,50.23,50-74%
char_found_miss,1426,50.19,50-74%
char_roof_material_cat_missing,1401,49.31,25-49%
char_roof_material_cat_infrequent_sklearn,1398,49.21,25-49%
char_air_central,1372,48.29,25-49%
char_has_pool,1325,46.64,25-49%
char_base_unfin_sf_miss,1308,46.04,25-49%
char_ground_sf_miss,1302,45.83,25-49%
char_gar1_cat_infrequent_sklearn,1250,44.0,25-49%
char_gar1_sf,1236,43.51,25-49%
char_style_miss,1231,43.33,25-49%
char_ground_sf,1168,41.11,25-49%
char_found_cat_missing,1100,38.72,25-49%
char_gar1_size_miss,1059,37.28,25-49%
char_bq_miss,954,33.58,25-49%
char_found_cat_infrequent_sklearn,952,33.51,25-49%
char_land_sf_miss,947,33.33,25-49%
char_bq_avg,877,30.87,25-49%
char_bq_ordinal,872,30.69,25-49%
char_air_cat_missing,829,29.18,25-49%
char_nbath,820,28.86,25-49%
char_frontage_sf,812,28.58,25-49%
char_depth_sf,795,27.98,25-49%
char_floor_miss,780,27.46,25-49%
char_sewer_miss,757,26.65,25-49%
char_fuel_typ_miss,743,26.15,25-49%
char_water_miss,730,25.7,25-49%
char_ext_wall_cat_VIN,717,25.24,25-49%
char_bq_cat_QAV,713,25.1,25-49%
char_heat_cat_FA0,702,24.71,<25%
char_air_cat_ACE,676,23.79,<25%
char_bq_cat_infrequent_sklearn,675,23.76,<25%
char_gar1_cat_450,671,23.62,<25%
char_ext_wall_cat_BRI,627,22.07,<25%
char_bsmt_cat_missing,607,21.37,<25%
char_bq_cat_missing,601,21.15,<25%
char_second_sf_miss,600,21.12,<25%
char_style_cat_infrequent_sklearn,593,20.87,<25%
char_gar1_cat_920,569,20.03,<25%
char_air_cat_infrequent_sklearn,551,19.39,<25%
char_roof_material_cat_2,536,18.87,<25%
char_gar1_cat_A00,527,18.55,<25%
char_found_cat_SLB,519,18.27,<25%
char_bq_go,517,18.2,<25%
char_bq_fa,517,18.2,<25%
char_found_cat_CRE,496,17.46,<25%
char_bsmt_cat_BFL,486,17.11,<25%
char_style_cat_missing,481,16.93,<25%
char_ext_wall_cat_ALV,462,16.26,<25%
char_bsmt_cat_infrequent_sklearn,459,16.16,<25%
char_roof_material_cat_15,441,15.52,<25%
char_style_cat_RAN,428,15.07,<25%
char_heat_cat_HP0,427,15.03,<25%
char_found_cat_PIR,420,14.78,<25%
char_ext_wall_cat_WOO,420,14.78,<25%
char_water_cat_WPU,399,14.04,<25%
char_found_cat_CNB,390,13.73,<25%
char_bq_cat_QFA,389,13.69,<25%
char_sewer_cat_SPU,386,13.59,<25%
char_bsmt_cat_PRL,372,13.09,<25%
char_elec_miss,371,13.06,<25%
char_ext_wall_cat_FRA,338,11.9,<25%
char_bq_abavg,338,11.9,<25%
char_bq_cat_QGO,333,11.72,<25%
char_ext_wall_cat_BRV,322,11.33,<25%
char_heat_cat_CL0,320,11.26,<25%
char_water_cat_infrequent_sklearn,315,11.09,<25%
char_heat_cat_001,311,10.95,<25%
char_sewer_cat_missing,305,10.74,<25%
char_gar1_cat_001,293,10.31,<25%
sale_year,284,10.0,<25%
char_bsmt_cat_CRA,266,9.36,<25%
char_sewer_cat_SSE,264,9.29,<25%
char_water_cat_missing,256,9.01,<25%
char_style_cat_CON,256,9.01,<25%
char_sewer_cat_infrequent_sklearn,254,8.94,<25%
char_roof_material_cat_155,251,8.83,<25%
char_gar1_cat_810,245,8.62,<25%
char_gar1_cat_780,243,8.55,<25%
char_heat_cat_WA0,237,8.34,<25%
char_water_cat_WWE,235,8.27,<25%
char_bq_cat_QVV,233,8.2,<25%
char_bq_blavg,225,7.92,<25%
char_ext_wall_cat_001,224,7.88,<25%
char_air_cat_001,220,7.74,<25%
char_bsmt_fin_par,205,7.22,<25%
char_roof_material_cat_133,204,7.18,<25%
char_bsmt_cat_001,199,7.0,<25%
char_bq_lo,199,7.0,<25%
char_roof_material_cat_106,194,6.83,<25%
char_ext_wall_cat_WOS,190,6.69,<25%
char_heat_cat_00E,186,6.55,<25%
char_n_frpl,182,6.41,<25%
char_fuel_typ_cat_FGA,180,6.34,<25%
char_fuel_typ_cat_infrequent_sklearn,180,6.34,<25%
