experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,0,0,tabpfn,64,16,67,2.2613794803619385,0.9617183208465576,0.05673376146850684,48287.81872558594,103590.39700375675,10730970351.395935
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,0,1,tabpfn,64,16,67,0.4435596466064453,0.21456098556518555,-3.1506201103463622,37815.92041015625,73739.2876837608,5437482548.1084385
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,0,2,tabpfn,64,16,67,0.4702122211456299,0.2205197811126709,0.3816348746973083,23520.946044921875,28813.207982296393,830200954.2310686
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,0,3,tabpfn,64,16,67,0.4525578022003174,0.2158975601196289,0.3462633889719541,28962.0751953125,39080.99538325665,1527324200.1461277
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,0,4,tabpfn,64,16,67,0.4589104652404785,0.21326732635498047,-0.5363670181707945,38441.031982421875,70780.51820922692,5009881757.966704
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,1,0,tabpfn,64,16,67,0.46155571937561035,0.21372199058532715,0.14691129613650167,30150.175048828125,55293.86786686318,3057411823.6781244
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,1,1,tabpfn,64,16,67,0.46194982528686523,0.2185056209564209,-0.3594978213762783,41240.435302734375,62035.97261483959,3848461898.269128
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,1,2,tabpfn,64,16,67,0.47594690322875977,0.21352601051330566,0.5754061210821291,21164.597534179688,27600.630123974337,761794783.2404397
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,1,3,tabpfn,64,16,67,0.4729492664337158,0.21312427520751953,-2.6143111118957183,42872.571533203125,85252.48116150584,7267985544.192908
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,1,4,tabpfn,64,16,67,0.4398341178894043,0.22295689582824707,-0.017630275368095694,47862.739013671875,102640.36852806041,10535045251.576054
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,2,0,tabpfn,64,16,67,0.45413661003112793,0.21411657333374023,0.42149303664691884,27874.58837890625,38855.630892238514,1509760052.0338802
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,2,1,tabpfn,64,16,67,0.48510122299194336,0.21413016319274902,-1.3108802674305249,37566.776123046875,64449.93970009432,4153794727.3457937
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,2,2,tabpfn,64,16,67,0.45196986198425293,0.21851348876953125,0.2001828646252981,36324.57861328125,90926.1925395157,8267572489.73308
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,2,3,tabpfn,64,16,67,0.46355438232421875,0.21511459350585938,-7.0357701180459316,35553.40576171875,63423.47716360093,4022537455.5218086
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,2,4,tabpfn,64,16,67,0.4525015354156494,0.21279191970825195,-0.1997494016297776,43714.20166015625,75076.43990361034,5636471828.600414
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,3,0,tabpfn,64,16,67,0.46677279472351074,0.21748685836791992,-0.08553759443223252,40628.759521484375,71981.10071815476,5181278860.59714
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,3,1,tabpfn,64,16,67,0.4620635509490967,0.21367216110229492,0.17843524172710234,16454.51611328125,25259.310586158394,638032771.2880135
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,3,2,tabpfn,64,16,67,0.44296932220458984,0.21392536163330078,0.03475650403960873,61250.53662109375,100196.72092731872,10039382884.586988
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,3,3,tabpfn,64,16,67,0.4759480953216553,0.2162637710571289,-1.9491737778472977,33418.10595703125,48927.76767900654,2393926450.0508366
