experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,0,tabpfn,33,9,6,2.8463587760925293,1.032789707183838,-0.6842150264394211,164073.06874999998,195113.134393608,38069135212.89813,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,0,xgboost,33,9,6,3.5093517303466797,0.0008482933044433594,-0.3456294301666485,147832.23194444444,174401.60416347126,30415919534.792114,4.0,0.11287124574129154,250.0,0.8921987057604824,0.9924156805966966,6.0,0.5397108120712704,2.3725652319175174,0.5489671268965395,3.4672911167144775
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,1,tabpfn,33,9,6,0.16712641716003418,0.36736583709716797,-0.024761221588556426,118327.01708333344,156475.13715172347,24484468546.65067,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,1,xgboost,33,9,6,3.1070966720581055,0.0008165836334228516,-0.0383029621653177,130789.98236111115,157505.61689863016,24808019354.61805,2.0,0.033045707500814495,100.0,0.8711329463245341,0.844151113722407,3.0,0.4902428336168758,0.13134784643230535,0.2735013044786139,3.095095157623291
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,2,tabpfn,34,8,6,0.16070842742919922,0.22362256050109863,-0.10863490620179883,126683.36718750006,139670.75797071142,19507920632.113045,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,2,xgboost,34,8,6,2.867680311203003,0.0008549690246582031,-0.30074501780624696,140916.73046875006,151288.98223880646,22888356146.853897,3.0,0.06544251947711074,350.0,0.7564376905446138,0.796173778206163,10.0,0.7894874940867306,5.479633122571778,0.06646532125152697,2.838977336883545
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,3,tabpfn,34,8,6,0.1607515811920166,0.22356796264648438,-1.184676015948543,116615.80468750003,148195.018020152,21961763365.99317,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,3,xgboost,34,8,6,3.871650457382202,0.0008649826049804688,-0.9415197561234872,112844.01953125009,139704.6914569852,19517400815.091434,4.0,0.010725209743171997,500.0,0.9497327922401265,0.7637017332034828,4.0,0.023270677083837805,0.4059611610484306,0.16124278458562616,3.82965087890625
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,4,tabpfn,34,8,6,0.15888500213623047,0.22249937057495117,-0.528157408056181,138108.53906250006,166366.1465289091,27677694710.878456,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,0,4,xgboost,34,8,6,3.9296464920043945,0.0008385181427001953,-0.3528316725184477,128597.95312500004,156531.87701006458,24502228520.293983,3.0,0.022897635619907153,250.0,0.8147004142994982,0.9454651295694254,3.0,0.05651564118520619,0.24005050204960116,0.35957256527811704,3.907179117202759
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,0,tabpfn,33,9,6,0.15981507301330566,0.22211742401123047,-0.1536970333841854,121383.46152777776,139372.33979731225,19424649100.57747,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,0,xgboost,33,9,6,3.141648530960083,0.0008313655853271484,-0.18862313546731024,125759.26361111109,141466.2341530402,20012695405.44279,5.0,0.10483876814240586,250.0,0.9175740155547095,0.9920287423085474,9.0,0.10828701023857705,0.9068965785158956,0.46568326495108636,3.121859312057495
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,1,tabpfn,33,9,6,0.1680278778076172,0.22054839134216309,-0.308441238301028,107462.53472222219,133305.04591174622,17770235265.53277,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,1,xgboost,33,9,6,4.054997205734253,0.0008337497711181641,-0.2710526417015653,96480.72569444448,131386.65195139608,17262452310.997295,3.0,0.013790607036060953,250.0,0.7249162487150793,0.8102207171284433,3.0,0.1142499514442693,1.1422333107779015,0.1673735988891555,4.028376579284668
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,2,tabpfn,34,8,6,0.1589515209197998,0.22265386581420898,-0.1139342431064998,161859.0195312501,190326.24938242772,36224081203.98206,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,2,xgboost,34,8,6,2.732990264892578,0.0008170604705810547,0.031146716781916384,153429.6875000001,177499.82111146426,31506186494.601814,3.0,0.21764447239293377,150.0,0.7364844090274321,0.7464469100065647,7.0,0.04487950590249782,2.3831292548710015,0.8930217071356273,2.7193689346313477
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,3,tabpfn,34,8,6,0.15767455101013184,0.22568821907043457,-0.36678882109764177,179404.8730468751,202456.39344809708,40988591248.01069,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,3,xgboost,34,8,6,4.361523628234863,0.0008511543273925781,0.025260171768441753,157591.5312500001,170972.05942463138,29231445103.89969,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,4.333712816238403
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,4,tabpfn,34,8,6,0.1657414436340332,0.22478652000427246,-0.30435835249824117,104050.49921875006,132358.41925914615,17518751148.779907,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,1,4,xgboost,34,8,6,4.09003758430481,0.0008399486541748047,-0.09231400085384478,92251.04218750006,121123.0672646764,14670797423.603323,2.0,0.1661609134093595,400.0,0.9510788380586537,0.8476791686663925,5.0,0.29762796476153425,1.226094685883045,0.9061956133547862,4.061877489089966
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,0,tabpfn,33,9,6,0.1568589210510254,0.22142434120178223,-0.04530079087393224,150170.20833333337,182912.28669000944,33456904622.168205,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,0,xgboost,33,9,6,2.8408238887786865,0.0008127689361572266,-0.0005039603631467049,149292.87847222228,178949.97649503592,32023094087.573914,4.0,0.11831871628051682,100.0,0.9797601442908802,0.8775453294371017,6.0,0.25706345523448654,1.7496390676966467,0.6777125703167527,2.829730987548828
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,1,tabpfn,33,9,6,0.16058635711669922,0.22434329986572266,-1.4146180936019523,123052.39236111114,138732.29475535188,19246649608.08583,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,1,xgboost,33,9,6,4.060411214828491,0.0008461475372314453,-2.5625966982228063,153047.35763888893,168514.2668193302,28397058121.656414,3.0,0.06505910429047392,300.0,0.7652846640891302,0.8103964359302331,3.0,0.06294221418819994,1.403299011431876,0.3673455538599095,4.036425352096558
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,2,tabpfn,34,8,6,0.15622949600219727,0.22155380249023438,-0.12155127423856715,124145.87500000003,143771.71481653518,20670305981.287125,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,2,xgboost,34,8,6,3.5766470432281494,0.0008544921875,0.09490389551384415,103676.58593750007,129155.00306125467,16681014815.752705,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,3.5482592582702637
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,3,tabpfn,34,8,6,0.17140936851501465,0.22174668312072754,-0.057490143642687785,161175.9840625001,178966.28699963074,32028931882.434204,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,3,xgboost,34,8,6,4.095863103866577,0.0008330345153808594,-0.13149505712965892,169490.7262500001,185122.58003009204,34270369636.997833,5.0,0.18307291294327482,400.0,0.9696411408294835,0.9196379269964788,7.0,0.8338347310102323,0.10128371459118243,0.04883872145429136,4.067769765853882
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,4,tabpfn,34,8,6,0.1620643138885498,0.22279953956604004,-0.22429838841807936,102599.37031250002,134999.25348696948,18224798442.039043,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,2,4,xgboost,34,8,6,4.375883340835571,0.0008420944213867188,-0.7887594155091158,118892.71562500007,163178.78474077058,26627315789.47474,3.0,0.2536999076681772,400.0,0.8795975452591109,0.7468055921327309,4.0,0.01306673923805328,5.3994844097874335,0.24164826029897515,4.347408056259155
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,0,tabpfn,33,9,6,0.1607837677001953,0.22188568115234375,-0.010088566190237236,105587.3743055556,121335.94918287922,14722412564.110249,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,0,xgboost,33,9,6,3.872878074645996,0.0008466243743896484,-0.18839265543694506,110948.02361111116,131610.2590251286,17321260280.66144,4.0,0.1691696892241733,350.0,0.7391648033770934,0.8003158446950033,10.0,0.034347406621164006,0.5280037060373766,1.0799024874611398,3.847797393798828
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,1,tabpfn,33,9,6,0.15964627265930176,0.221510648727417,-0.22630486803255256,147280.53444444446,168922.08168412955,28534669680.499737,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,1,xgboost,33,9,6,3.5772335529327393,0.0008394718170166016,0.034576874571717875,129179.98930555559,149880.81548762028,22464258851.23407,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,3.5490524768829346
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,2,tabpfn,34,8,6,0.16288447380065918,0.22106575965881348,-0.5148067312746936,157992.8750000001,179879.74071153754,32356721118.449974,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,2,xgboost,34,8,6,4.617590427398682,0.0008652210235595703,-0.21044081067670706,153306.54882812503,160796.06577945987,25855374770.152386,4.0,0.01087961551002221,500.0,0.9863861496165958,0.8551066356112214,4.0,0.032014563789153044,0.32586725590593896,0.14451820199858711,4.575265645980835
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,3,tabpfn,34,8,6,0.15911149978637695,0.22216272354125977,-0.2880708262386211,87929.1953125,109257.44033725944,11937188269.049807,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,3,xgboost,34,8,6,4.712093830108643,0.0008385181427001953,-1.0187719203340504,118012.75976562499,136780.6859762864,18708956056.14347,4.0,0.020705080691420283,200.0,0.7323242342930228,0.8476791686663925,3.0,0.05843997430106513,6.478051578957704,0.021291745955985958,4.683908700942993
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,4,tabpfn,34,8,6,0.1607661247253418,0.22201275825500488,-0.06977706284075924,143268.51953125006,175795.031205231,30903892996.448147,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,3,4,xgboost,34,8,6,4.361156702041626,0.0008552074432373047,0.07228852829854482,136711.86328125006,163706.68647953286,26799879198.108063,3.0,0.06944705392103091,450.0,0.8031524177496026,0.8184929454227236,4.0,0.2079976432553113,0.5608858492672154,0.2918631473541008,4.32958459854126
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,0,tabpfn,33,9,6,0.160233736038208,0.22255206108093262,-0.5580886058179728,174609.75694444444,187639.7991355477,35208694219.62869,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,0,xgboost,33,9,6,3.4845073223114014,0.0008466243743896484,-0.6438680307255,171040.56770833334,192735.7855839082,37147083044.64623,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,3.456658363342285
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,1,tabpfn,33,9,6,0.16173481941223145,0.3171076774597168,-0.2068987299709184,117928.59027777782,149422.67036333904,22327134418.51108,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,1,xgboost,33,9,6,3.659560203552246,0.0008413791656494141,0.20244707658049588,96209.77777777781,121467.70722666493,14754403898.90279,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,3.6317684650421143
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,2,tabpfn,34,8,6,0.15909385681152344,0.2216479778289795,-0.20784821085108285,148568.14453125015,175394.97525398247,30763397344.345127,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,2,xgboost,34,8,6,3.7187933921813965,0.0008828639984130859,-0.23592848276716505,147302.61328125012,177422.06831543412,31478590325.326572,2.0,0.04086735559913164,250.0,0.9031390224745219,0.9074641965870688,3.0,0.04645360668311809,0.23014595219276648,0.19728343938645762,3.6975250244140625
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,3,tabpfn,34,8,6,0.15830373764038086,0.22159528732299805,-0.32251023265065104,140853.01562499997,165629.78559630428,27433225876.677727,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,3,xgboost,34,8,6,2.9912450313568115,0.0008089542388916016,0.046410540028129055,117387.23437499997,140643.49181225308,19780591789.143303,2.0,0.17781622120417845,100.0,0.9033011298700224,0.8607139613323022,3.0,0.029625693507659985,0.14508495115520081,0.5008772336593087,2.9800429344177246
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,4,tabpfn,34,8,6,0.15845322608947754,0.22160053253173828,0.09227684222938726,53494.14343750006,65840.71560765934,4334999831.728677,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,4,4,xgboost,34,8,6,3.159167528152466,0.0008220672607421875,0.29917828674806035,43719.80359375002,57852.4305029063,3346903715.093604,4.0,0.05972538233296227,200.0,0.9223914034720263,0.9801007006118881,3.0,0.038489315229591994,0.14352988621756796,0.3382915688606076,3.1404716968536377
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,0,tabpfn,33,9,6,0.1568150520324707,0.27133822441101074,-0.3904429833642371,115316.05138888891,136588.1790654908,18656330660.426582,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,0,xgboost,33,9,6,4.438084602355957,0.0008287429809570312,-0.1857982130442022,108838.12083333332,126136.83181236459,15910500339.66075,2.0,0.1601531217136121,400.0,0.9187021504122962,0.9313811040057838,3.0,0.05211124595788264,0.17050539260269293,0.9683377710407788,4.411747932434082
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,1,tabpfn,33,9,6,0.16078543663024902,0.2229301929473877,-0.06858082456653847,172416.67361111112,197902.78715216098,39165513162.59354,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,1,xgboost,33,9,6,2.676086902618408,0.0008058547973632812,-0.007351254262675466,165201.50694444444,192149.24752566044,36921333324.67753,4.0,0.14556387102428447,150.0,0.8485227689237587,0.8359513959367093,6.0,0.7053050146297042,9.295615215334596,1.3293094415725204,2.659832715988159
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,2,tabpfn,34,8,6,0.16051316261291504,0.2223656177520752,-0.14329741177327193,123117.16406250004,142829.0444174065,20400135929.189476,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,2,xgboost,34,8,6,3.2689993381500244,0.0008099079132080078,-0.08708993008933064,118619.00000000004,139273.87428230586,19397212057.60354,5.0,0.045352632051371654,250.0,0.7032967567731313,0.8211073772364281,8.0,0.5319301949684389,0.8598942630914826,1.1439762882722466,3.2200210094451904
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,3,tabpfn,34,8,6,0.15664315223693848,0.22340774536132812,-0.1777362375967264,115327.12500000004,147040.32297297762,21620856579.997566,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,3,xgboost,34,8,6,5.503832578659058,0.0008602142333984375,-0.41152167315982235,134776.85546875,160974.1736736242,25912684589.906128,4.0,0.021267305947814327,400.0,0.7224821432372044,0.7653376511861582,4.0,0.1891995143980824,0.2186863815176368,0.15426447972370694,5.437921762466431
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,4,tabpfn,34,8,6,0.16017532348632812,0.22201228141784668,-0.6899499795817039,137319.47625000007,150445.22953294544,22633767089.22064,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,5,4,xgboost,34,8,6,2.7608883380889893,0.0008025169372558594,-1.0783634608818367,155289.37078125,166840.7930145924,27835850213.738068,4.0,0.22999586428143728,50.0,0.7587948587257435,0.7135681866731614,5.0,0.05989003672254302,0.34889766548903667,0.8071418522169698,2.75256609916687
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,6,0,tabpfn,33,9,6,0.15777015686035156,0.22081518173217773,-0.49168777004532593,128743.20138888905,157561.86062742712,24825739924.376766,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,6,0,xgboost,33,9,6,2.8240644931793213,0.0008203983306884766,-0.30906018723354167,118418.48611111117,147601.89849495766,21786320439.31578,3.0,0.0526418739218052,150.0,0.9373992167877593,0.9790485825781157,10.0,0.44480830333716515,0.20792254816176708,0.15570524913925915,2.8090145587921143
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,6,1,tabpfn,33,9,6,0.1657719612121582,0.22186732292175293,-0.4068347397964689,163796.9233333334,188473.18022607436,35522139664.530304,,,,,,,,,,
with_preprocessing,"Property chars with winsorization, log transform, normalization",2232,small,6,1,xgboost,33,9,6,3.674618721008301,0.0008313655853271484,-0.4257566488248006,165141.63861111118,189736.42766458986,35999911982.92014,4.0,0.08781613276208289,250.0,0.9266054183136833,0.7585489178445889,3.0,0.0443365369153605,0.31055359618463496,0.7257882822136915,3.6549453735351562
