state,n_counties,n_universal_features,universal_features
11,1,65,char_air_cat_001|char_air_cat_infrequent_sklearn|char_air_cat_missing|char_air_miss|char_basement_unfin|char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_bq_abavg|char_bq_avg|char_bq_cat_QAV|char_bq_cat_QGO|char_bq_cat_QVV|char_bq_cat_infrequent_sklearn|char_bq_exc|char_bq_go|char_bq_lux|char_bq_miss|char_bq_ordinal|char_bsmt_cat_001|char_bsmt_cat_FIN|char_bsmt_cat_missing|char_bsmt_fin_cat_001|char_bsmt_fin_cat_FUN|char_bsmt_fin_cat_missing|char_bsmt_miss|char_ext_wall_cat_BRI|char_ext_wall_cat_BSD|char_ext_wall_cat_VIN|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_fbath|char_fbath_miss|char_floor_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_has_frpl|char_hbath|char_hbath_miss|char_heat_cat_FA0|char_heat_cat_RDH|char_heat_cat_WA0|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath|char_nbath_miss|char_roof_material_cat_15|char_roof_material_cat_24|char_roof_material_cat_3|char_roof_material_cat_infrequent_sklearn|char_roof_material_cat_missing|char_roof_miss|char_stories|char_stories_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month|sale_year
09,8,51,char_base_fin_sf_miss|char_base_unfin_sf_miss|char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_bsmt_cat_001|char_bsmt_cat_BFL|char_bsmt_cat_infrequent_sklearn|char_bsmt_cat_missing|char_bsmt_miss|char_ext_wall_cat_VIN|char_ext_wall_cat_WDH|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_fbath|char_fbath_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_ground_sf_miss|char_has_frpl|char_has_pool|char_hbath_miss|char_heat_cat_FA0|char_heat_cat_FAH|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath_miss|char_roof_material_cat_2|char_roof_material_cat_23|char_roof_material_cat_infrequent_sklearn|char_roof_miss|char_sewer_miss|char_stories|char_stories_miss|char_style_cat_CAP|char_style_cat_COL|char_style_cat_RAN|char_style_cat_RRA|char_style_cat_infrequent_sklearn|char_style_miss|char_water_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
15,4,50,char_air_miss|char_base_fin_sf_miss|char_base_unfin_sf_miss|char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_bsmt_miss|char_ext_wall_cat_MAS|char_ext_wall_cat_PLY|char_ext_wall_cat_STU|char_ext_wall_cat_WOO|char_ext_wall_miss|char_fbath|char_fbath_miss|char_floor_miss|char_found_cat_CRE|char_found_cat_PIR|char_found_cat_infrequent_sklearn|char_found_miss|char_gar1_cat_A00|char_gar1_cat_infrequent_sklearn|char_gar1_cat_missing|char_gar1_cnst_miss|char_gar1_sf|char_gar1_sf_miss|char_gar1_size_miss|char_ground_sf|char_ground_sf_miss|char_has_pool|char_hbath_miss|char_land_sf|char_land_sf_miss|char_nbath_miss|char_roof_material_cat_13|char_roof_material_cat_infrequent_sklearn|char_roof_miss|char_second_sf_miss|char_stories|char_stories_miss|char_style_cat_CNT|char_style_cat_infrequent_sklearn|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
44,5,48,char_base_fin_sf_miss|char_base_unfin_sf_miss|char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_bsmt_cat_001|char_bsmt_cat_infrequent_sklearn|char_bsmt_cat_missing|char_bsmt_miss|char_ext_wall_cat_VIN|char_ext_wall_cat_WDH|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_fbath|char_fbath_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_ground_sf_miss|char_has_frpl|char_has_pool|char_hbath_miss|char_heat_cat_FA0|char_heat_cat_FAH|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_land_sf_miss|char_n_frpl_miss|char_nbath_miss|char_roof_material_cat_2|char_roof_material_cat_infrequent_sklearn|char_roof_miss|char_stories|char_stories_miss|char_style_cat_CAP|char_style_cat_COL|char_style_cat_RAN|char_style_cat_RRA|char_style_cat_infrequent_sklearn|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
33,10,41,char_base_fin_sf_miss|char_base_unfin_sf_miss|char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_ext_wall_cat_VIN|char_ext_wall_cat_WDH|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_fbath|char_fbath_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_has_frpl|char_hbath_miss|char_heat_cat_FA0|char_heat_cat_FAH|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_land_sf_miss|char_n_frpl_miss|char_nbath_miss|char_roof_material_cat_2|char_roof_material_cat_infrequent_sklearn|char_roof_miss|char_stories|char_stories_miss|char_style_cat_CAP|char_style_cat_CON|char_style_cat_RAN|char_style_cat_infrequent_sklearn|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
24,24,37,char_air_miss|char_bldg_sf|char_bldg_sf_miss|char_bq_avg|char_bq_cat_QAV|char_bq_cat_infrequent_sklearn|char_bq_fa|char_bq_go|char_bq_miss|char_bq_ordinal|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_fbath|char_fbath_miss|char_gar1_cnst_miss|char_gar1_sf_miss|char_has_frpl|char_hbath_miss|char_heat_cat_HA0|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath_miss|char_roof_material_cat_15|char_roof_material_cat_infrequent_sklearn|char_roof_miss|char_stories|char_stories_miss|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
25,14,30,char_beds|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_ext_wall_miss|char_fbath|char_fbath_miss|char_has_frpl|char_hbath_miss|char_heat_cat_FAH|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath_miss|char_roof_material_cat_2|char_roof_miss|char_stories|char_stories_miss|char_style_cat_COL|char_style_cat_RAN|char_style_cat_infrequent_sklearn|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month|sale_year
10,3,28,char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_bsmt_miss|char_depth_sf|char_depth_sf_miss|char_ext_wall_cat_infrequent_sklearn|char_ext_wall_miss|char_found_miss|char_frontage_sf|char_frontage_sf_miss|char_gar1_cat_infrequent_sklearn|char_gar1_cat_missing|char_gar1_cnst_miss|char_has_frpl|char_heat_miss|char_land_sf|char_land_sf_miss|char_n_frpl_miss|char_roof_miss|char_stories|char_stories_miss|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
20,21,28,char_air_central|char_air_miss|char_beds|char_bldg_sf|char_bsmt_cat_BFL|char_bsmt_cat_CRA|char_ext_wall_cat_infrequent_sklearn|char_fbath|char_found_cat_CRE|char_found_miss|char_gar1_cat_missing|char_gar1_cnst_miss|char_gar1_sf_miss|char_has_frpl|char_hbath_miss|char_heat_cat_infrequent_sklearn|char_land_sf|char_roof_material_cat_infrequent_sklearn|char_stories|char_style_cat_RAN|char_style_cat_infrequent_sklearn|char_style_miss|char_yrblt|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
18,92,25,char_air_central|char_air_miss|char_beds_miss|char_bldg_sf|char_bldg_sf_miss|char_depth_sf_miss|char_fbath_miss|char_frontage_sf_miss|char_gar1_cnst_miss|char_gar1_sf_miss|char_has_frpl|char_hbath_miss|char_heat_cat_infrequent_sklearn|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath_miss|char_stories_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
50,14,24,char_base_fin_sf_miss|char_base_unfin_sf_miss|char_beds_miss|char_bldg_sf_miss|char_bsmt_miss|char_ext_wall_miss|char_fbath_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_has_frpl|char_hbath_miss|char_heat_miss|char_land_sf|char_n_frpl_miss|char_nbath_miss|char_roof_miss|char_stories_miss|char_style_miss|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
05,75,22,char_air_central|char_air_miss|char_bldg_sf|char_ext_wall_miss|char_fbath|char_found_cat_PIR|char_found_miss|char_gar1_cnst_miss|char_gar1_sf_miss|char_ground_sf|char_has_frpl|char_hbath_miss|char_heat_cat_CL0|char_heat_miss|char_n_frpl_miss|char_roof_miss|char_stories_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
56,19,20,char_base_fin_sf_miss|char_base_unfin_sf_miss|char_bldg_sf|char_bq_avg|char_bq_cat_QAV|char_bq_fa|char_bq_ordinal|char_gar1_cat_missing|char_gar1_cnst_miss|char_gar1_sf|char_gar1_sf_miss|char_heat_miss|char_land_sf|char_roof_material_cat_15|char_yrblt|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
04,15,18,char_air_miss|char_bldg_sf|char_bldg_sf_miss|char_bq_miss|char_bq_ordinal|char_gar1_cnst_miss|char_gar1_sf_miss|char_heat_miss|char_land_sf|char_stories|char_stories_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
34,21,17,char_bldg_sf|char_bldg_sf_miss|char_depth_sf_miss|char_ext_wall_miss|char_frontage_sf_miss|char_gar1_cnst_miss|char_gar1_size_miss|char_land_sf|char_stories_miss|char_style_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
47,95,14,char_bldg_sf_miss|char_depth_sf_miss|char_ext_wall_miss|char_frontage_sf_miss|char_heat_miss|char_land_sf|char_roof_miss|char_stories_miss|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
32,16,13,char_bldg_sf|char_bldg_sf_miss|char_gar1_cnst_miss|char_gar1_sf_miss|char_land_sf|char_stories_miss|char_yrblt|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
39,88,11,char_beds_miss|char_bldg_sf_miss|char_fbath_miss|char_has_frpl|char_land_sf|char_nbath_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
40,77,10,char_beds_miss|char_fbath_miss|char_gar1_cnst_miss|char_gar1_sf_miss|char_nbath_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
36,62,8,char_bldg_sf|char_land_sf|char_yrblt|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
01,62,8,char_bldg_sf|char_land_sf|char_yrblt|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
30,33,8,char_gar1_size_miss|char_heat_cat_FA0|char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
12,68,8,char_bldg_sf_miss|char_land_sf|char_yrblt_miss|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
13,159,7,char_ext_wall_miss|char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
41,36,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
06,58,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
55,72,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
53,36,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
31,91,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
49,20,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
35,26,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
19,99,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
37,100,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
46,21,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
45,45,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
16,44,6,char_land_sf|sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
08,64,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
26,75,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
27,87,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
38,53,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
21,116,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
22,61,5,sale_day|sale_day_of_month|sale_day_of_week|sale_day_of_year|sale_month
17,93,4,sale_day|sale_day_of_week|sale_day_of_year|sale_month
29,95,4,sale_day|sale_day_of_month|sale_day_of_year|sale_month
42,67,0,
48,222,0,
23,16,0,
51,128,0,
02,17,0,
54,53,0,
28,57,0,
78,3,0,
