fips,bucket,own_train_size,test_size,n_cont,model,context,mape,r2,mae,rmse
28115,tiny,26,7,44,TabPFN (zero-shot),Normal,49.27742819149538,0.30954140318070755,69030.96648058532,96751.73783859368
28115,tiny,26,7,44,TabPFN (globally finetuned),Normal,59.06165275251362,-0.7540525820385788,115520.72038683531,154209.54577650543
28115,tiny,26,7,44,TabPFN (zero-shot),Shuffled-y,90.52557422877967,-0.024829839163520218,101562.63947165677,117873.4065310781
28115,tiny,26,7,44,TabPFN (globally finetuned),Shuffled-y,69.39846849904178,-0.4895158871473293,112800.22652522821,142106.0355344897
28115,tiny,26,7,44,TabPFN (zero-shot),Minimal (2),6.5599439125117485,-0.4298594842116037,22172.287786155764,23372.571253613696
28115,tiny,26,7,44,TabPFN (globally finetuned),Minimal (2),10.473206656941048,-2.771414407709113,34225.27439329862,37958.753296311756
48045,tiny,24,6,42,TabPFN (zero-shot),Normal,28.32540445131228,0.18127954799484258,38379.62072916665,48641.45418087018
48045,tiny,24,6,42,TabPFN (globally finetuned),Normal,34.552095872277896,0.1242922667300318,43799.97880208333,50305.830463383565
48045,tiny,24,6,42,TabPFN (zero-shot),Shuffled-y,37.37579514484283,-0.6525128048078437,54489.691041666665,69105.26665017367
48045,tiny,24,6,42,TabPFN (globally finetuned),Shuffled-y,43.40105221863951,0.03871742451330307,48894.211875,52706.51066298494
48045,tiny,24,6,42,TabPFN (zero-shot),Minimal (2),13.436333402595904,0.0,8894.928176323263,9003.754936598229
48045,tiny,24,6,42,TabPFN (globally finetuned),Minimal (2),8.207647746326606,0.0,5433.508905489929,5801.28720268781
48229,tiny,30,8,41,TabPFN (zero-shot),Normal,140.69519289188997,-0.8256116713780766,123454.61305143908,154189.1004994622
48229,tiny,30,8,41,TabPFN (globally finetuned),Normal,123.89163614514783,-0.24172063885165995,106955.64942839221,127163.19260094364
48229,tiny,30,8,41,TabPFN (zero-shot),Shuffled-y,89.84964202354908,-0.5693351882223827,110535.84962370471,142957.62664137935
48229,tiny,30,8,41,TabPFN (globally finetuned),Shuffled-y,165.80301301876602,-0.5282926814515014,120917.92286589221,141075.87084223892
48229,tiny,30,8,41,TabPFN (zero-shot),Minimal (2),51.2475960000051,-3.864531281478776,22742.18745652536,25061.490576787488
48229,tiny,30,8,41,TabPFN (globally finetuned),Minimal (2),26.656821100859883,0.2197495164842096,6869.057033034494,10036.988368415943
27107,medium,292,73,40,TabPFN (zero-shot),Normal,48.71174564799546,0.2696490461979848,48282.96871243768,71066.2037762391
27107,medium,292,73,40,TabPFN (globally finetuned),Normal,30.681061536035937,0.5149560913330278,34210.490196812665,57914.57103753772
27107,medium,292,73,40,TabPFN (zero-shot),Shuffled-y,84.05212086481299,-0.42249031944432014,71379.11725695821,99179.5140968234
27107,medium,292,73,40,TabPFN (globally finetuned),Shuffled-y,81.77644289428217,-0.4634435118208622,71840.70859899589,100597.06227507872
27107,medium,292,73,40,TabPFN (zero-shot),Minimal (2),25.371573128495957,-1.0982969521879204,21773.353691535613,25940.47746003806
27107,medium,292,73,40,TabPFN (globally finetuned),Minimal (2),24.4006922577224,-0.17108301413880067,17172.33792653562,19379.310959882812
28101,medium,243,61,43,TabPFN (zero-shot),Normal,23.02620836814098,0.807515984036157,26756.364401895484,36164.57229501441
28101,medium,243,61,43,TabPFN (globally finetuned),Normal,22.41288222663702,0.8423604828367518,25272.34429431351,32727.930605554677
28101,medium,243,61,43,TabPFN (zero-shot),Shuffled-y,65.87116184896018,-0.23717100256592172,68636.79316086066,91685.54349836483
28101,medium,243,61,43,TabPFN (globally finetuned),Shuffled-y,64.48253921152327,-0.27086641472283834,69201.43173668033,92925.72305024872
28101,medium,243,61,43,TabPFN (zero-shot),Minimal (2),20.330908006512587,-0.007883818148620714,29456.248387152405,33427.241240796255
28101,medium,243,61,43,TabPFN (globally finetuned),Minimal (2),54.1644530301178,-4.063400533461548,66544.80331496909,74923.22119915782
13099,medium,392,98,44,TabPFN (zero-shot),Normal,73.98679794984757,0.6872627381178322,45009.907256411636,64586.15325685904
13099,medium,392,98,44,TabPFN (globally finetuned),Normal,65.34283228517343,0.6674997238071738,46358.71730504046,66595.61121867306
13099,medium,392,98,44,TabPFN (zero-shot),Shuffled-y,160.00902459966267,-0.1461122778805226,81274.64173106088,123641.19291104202
13099,medium,392,98,44,TabPFN (globally finetuned),Shuffled-y,186.85212997218167,-0.35401969386546095,92959.80645124582,134388.49631635786
13099,medium,392,98,44,TabPFN (zero-shot),Minimal (2),50.491298750513515,-1.4721434285129535,46760.78806264924,53970.97629572195
13099,medium,392,98,44,TabPFN (globally finetuned),Minimal (2),87.15847089799004,-0.9270222411289306,35154.327928034414,47650.42799388256
