feature,dtype,n_unique,null_count,null_pct,category,min,max,mean,std
Unnamed: 0,int64,17904828,0,0.0,unknown,0.0,26228557.0,10642955.000672948,6120748.660877954
ASSESSED_YEAR,int64,7,0,0.0,unknown,2018.0,2024.0,2020.715895008877,1.6004935777905722
CENSUS_ID,float64,1775459,61989,0.3462138815296075,unknown,100.0,9901000014.0,2217155291.5272465,3365439645.9460626
MARKET_TOTAL_VALUE,float64,911217,0,0.0,unknown,150.0,643617021.0,252917.2154642312,490081.33854682784
latitude,float64,9869402,692639,3.868448219664551,unknown,19.018222,71.302773,37.20220126407536,5.4213607160140835
longitude,float64,11380901,692639,3.868448219664551,unknown,-166.542044,-71.874585,-89.83500865474217,12.888046653947221
address,object,14337349,113241,0.6324606971929583,unknown,,,,
TAX_YEAR,float64,20,295639,1.6511691706840188,unknown,2003.0,2024.0,2020.7711015538534,1.6545593448069211
TOTAL_TAX_AMOUNT,float64,1568256,295655,1.65125853205627,unknown,0.01,2750080.55,3582.2602623638263,4879.783204277103
char_yrblt,float64,317,2622033,14.644279185480029,continuous,1700.0,2024.0,1976.3181469096457,31.66387956135221
char_yrblt_miss,int64,2,0,0.0,binary,0.0,1.0,0.14644279185480027,0.3535495828731506
char_air_central,int64,2,0,0.0,continuous,0.0,1.0,0.38084414996893573,0.4855943745278694
char_air_miss,int64,2,0,0.0,binary,0.0,1.0,0.5192341417633277,0.49962992477701057
char_air_cat,int64,27,0,0.0,categorical,0.0,26.0,15.029173807198818,9.999833398296708
char_beds,float64,109,7104174,39.67742108441366,continuous,1.0,999.0,3.1842242145707105,1.551403536225102
char_beds_miss,int64,2,0,0.0,binary,0.0,1.0,0.39677421084413655,0.48922842294856705
char_bldg_sf,float64,12919,2515583,14.049746805721899,continuous,1.0,4622108.0,1880.1195712980073,2031.9368642463392
char_bldg_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.140497468057219,0.3475024262809744
char_ground_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.500842175082609,0.4999993047033224
char_second_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.9016987485163219,0.29772154841552156
char_base_fin_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.90156816921112,0.29789765093535486
char_base_unfin_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.9010420541319917,0.29860555218808277
char_stories,float64,279,4340000,24.239272223112113,continuous,0.01,892.0,1.3651706781685693,0.5944564803351658
char_stories_miss,int64,2,0,0.0,binary,0.0,1.0,0.24239272223112113,0.42853062982344153
char_bsmt_miss,int64,2,0,0.0,binary,0.0,1.0,0.7332087747505869,0.44228235133738014
char_no_bsmt,int64,2,0,0.0,continuous,0.0,1.0,0.014760152959860882,0.12059142447397267
char_bsmt_cel,int64,2,0,0.0,continuous,0.0,1.0,0.00019123333661736377,0.013827392274280564
char_bsmt_slab,int64,2,0,0.0,continuous,0.0,1.0,0.004314981411717555,0.06554664436177965
car_bsmt_fin_miss,int64,2,0,0.0,unknown,0.0,1.0,0.8814253339937139,0.32328736508719386
char_bsmt_fin_par,int64,2,0,0.0,continuous,0.0,1.0,0.012508022975702419,0.1111376310112271
char_basement_unfin,int64,2,0,0.0,continuous,0.0,1.0,0.01887848350176835,0.13609587575278054
char_ext_wall_miss,int64,2,0,0.0,binary,0.0,1.0,0.29973669671666214,0.4581425772407979
char_ext_wall_cat,int64,273,0,0.0,categorical,0.0,272.0,165.2959712877443,97.65999997460635
char_nbath_miss,int64,2,0,0.0,binary,0.0,1.0,0.2781923959280703,0.4481086899300218
char_fbath,float64,109,5004975,27.953214630154502,continuous,1.0,999.0,1.9172535531994046,1.0443514160679988
char_fbath_miss,int64,2,0,0.0,binary,0.0,1.0,0.27953214630154505,0.4487693580600404
char_hbath_miss,int64,2,0,0.0,binary,0.0,1.0,0.7543242526540886,0.4304871483124377
char_has_frpl,int64,2,0,0.0,continuous,0.0,1.0,0.33473502230794955,0.4718977639126233
char_n_frpl_miss,int64,2,0,0.0,binary,0.0,1.0,0.7070910706318988,0.4550970226577948
char_gar1_cnst_miss,int64,2,0,0.0,binary,0.0,1.0,0.3895089637275488,0.4876389485924117
char_gar1_cat,int64,212,0,0.0,categorical,0.0,211.0,143.19375014381595,71.07248776005086
char_gar1_size_miss,int64,2,0,0.0,binary,0.0,1.0,0.8553127681539303,0.3517852238205775
char_gar1_sf,float64,4979,8550128,47.75319818766201,continuous,1.0,7841072.0,512.0036909788662,4472.507647883979
char_gar1_sf_miss,int64,2,0,0.0,binary,0.0,1.0,0.4775319818766201,0.4994949470176135
char_has_pool,int64,2,0,0.0,continuous,0.0,1.0,0.06066090107092902,0.23870726703357525
char_floor_miss,int64,2,0,0.0,binary,0.0,1.0,0.9319930356214536,0.2517578612764689
char_bq_avg,int64,2,0,0.0,continuous,0.0,1.0,0.19657669987111856,0.39740949882918675
char_bq_blavg,int64,2,0,0.0,continuous,0.0,1.0,0.011707736036336121,0.10756702840309013
char_bq_econ,int64,2,0,0.0,continuous,0.0,1.0,0.0014474308270372661,0.03801757293359816
char_bq_exc,int64,2,0,0.0,continuous,0.0,1.0,0.011559619561829916,0.1068924477948153
char_bq_fa,int64,2,0,0.0,continuous,0.0,1.0,0.04517658589068826,0.2076912718125472
char_bq_go,int64,2,0,0.0,continuous,0.0,1.0,0.0532101174052049,0.22445223016185115
char_bq_lo,int64,2,0,0.0,continuous,0.0,1.0,0.003122733153314849,0.05579410241979653
