model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,target_fips,iteration,n_counties,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,359,50,39,33.18302345275879,8.171154499053955,0.44893921394804803,80796.50300781251,117034.62893184097,13697104369.213709,1011,0,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,19.364537477493286,0.003111600875854492,0.5864548752405827,67414.03726562503,101385.55467143777,10279030696.035097,1011,0,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.011495650695505982,850.0,0.645304467578982,0.6003514837722708,1.0,3.9827680898058405e-07,5.709761190113988,9.738273262823851e-05,18.777349710464478
tabpfn,359,50,39,0.30670714378356934,0.44098401069641113,0.5535636368322314,68829.37882812503,121862.39842572228,14850444150.06948,1011,1,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,15.0905921459198,0.0028998851776123047,0.4791246149124472,69850.14812500004,131630.59908879502,17326614616.475082,1011,1,9,success,cross_county_small,Cross-county generalization test with small counties,4.0,0.04090099278589117,100.0,0.7723917796530066,0.6606971432206057,3.0,0.34150016639240593,6.186676905279996,1.0001888017367326e-06,15.053040981292725
tabpfn,359,50,39,0.30338263511657715,0.42073655128479004,0.3659982817555827,99371.35792968754,181500.0676955022,32942274573.471874,1011,2,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,19.01933765411377,0.0030722618103027344,0.4814606589119652,92616.55404296878,164143.02381194814,26942932266.129772,1011,2,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.023925178817694872,650.0,0.6422713792956115,0.9375869087157294,2.0,0.3755143163232978,4.288045324481134,1.4591656154026852e-06,18.866862058639526
tabpfn,359,50,39,0.31678342819213867,0.4394984245300293,0.4403870182122228,82314.07460937503,149655.27886723273,22396702492.829193,1011,3,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,20.1809139251709,0.0029420852661132812,0.5120546922624738,77913.44494140627,139744.17794079005,19528435268.34719,1011,3,9,success,cross_county_small,Cross-county generalization test with small counties,7.0,0.10074879557565444,1000.0,0.9614666025356848,0.833433837817464,2.0,9.811623096680084e-05,4.598621126924214,0.5457227498951437,20.049715042114258
tabpfn,359,50,39,0.30310726165771484,0.4154796600341797,0.30113109560393114,70934.60402343751,129026.50511258085,16647839021.566853,1011,4,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,17.909902334213257,0.002900362014770508,0.4136525979459976,68153.07710937501,118183.97088864054,13967450975.007034,1011,4,9,success,cross_county_small,Cross-county generalization test with small counties,8.0,0.11578499172440077,500.0,0.9575924484328738,0.962238361117828,3.0,0.1967932076616343,4.661915294630129,0.6366914510026263,17.835787773132324
