model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,target_fips,iteration,n_counties,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,10000,9992,222,47.17106223106384,158.80293202400208,-0.25093411579703706,219219.91220399347,309722.52602422604,95928043126.8274,sampled,0,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,127.393559217453,0.04193735122680664,-0.3825116305856098,229352.62452313007,325604.1795275303,106018081725.79616,sampled,0,72,success,small_in_context_10k,10K in-context learning with small test counties,5.0,0.01529067488659539,700.0,0.6841270666250363,0.6229924453250081,5.0,1.9976659316091987e-05,8.256885550941426,0.0001376958820381732,126.21703910827637
tabpfn,10000,9992,222,13.761668920516968,150.76308608055115,-0.23865049552888706,218657.0620689583,311070.0201469287,96764557434.21065,sampled,1,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,119.11446499824524,0.04825782775878906,-0.3079821060449257,224435.37754966412,319657.3304915073,102180808936.95674,sampled,1,72,success,small_in_context_10k,10K in-context learning with small test counties,6.0,0.010772994096062007,600.0,0.8103353984247993,0.6862796554086114,4.0,3.537340823048566e-05,8.19577170863385,3.804155118084376e-06,118.27476263046265
tabpfn,10000,9992,222,13.171666860580444,152.27022314071655,-0.3251086532142895,229691.80824970914,327603.97741769045,107324366019.89064,sampled,2,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,100.93171763420105,0.05189871788024902,-0.373781043939478,232500.51750658435,333566.3099249034,111266483116.9167,sampled,2,72,success,small_in_context_10k,10K in-context learning with small test counties,8.0,0.01004435377220445,400.0,0.940756800316555,0.6258275684143765,10.0,0.1846517810698779,4.3669944210819525,8.830659377753508e-07,100.08633017539978
tabpfn,10000,9992,222,13.404627323150635,151.2390913963318,-0.39231734337567414,234038.78236036267,328838.0599185157,108134469650.9733,sampled,3,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,98.97118520736694,0.043897151947021484,-0.34690951610309106,227956.2663667329,323431.39315220324,104607866076.37505,sampled,3,72,success,small_in_context_10k,10K in-context learning with small test counties,5.0,0.014298489177205977,800.0,0.811229595704235,0.6525206148605897,2.0,4.616738496134287e-08,6.255578726453129,5.6150247229181296e-05,98.11833453178406
tabpfn,10000,9992,222,13.183354616165161,151.5604543685913,-0.3867353324479803,231822.48263380202,327367.888064488,107169734135.80316,sampled,4,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,113.78567123413086,0.05322098731994629,-0.3406435967850867,225058.26481887136,321881.45460666897,103607670819.7051,sampled,4,72,success,small_in_context_10k,10K in-context learning with small test counties,7.0,0.010170893384154792,500.0,0.9068571009641483,0.6293164740327309,1.0,9.89840806430542e-06,8.073008202441525,2.1569723814803377e-07,112.78233695030212
tabpfn,10000,9992,222,13.24104619026184,151.57071495056152,-0.3717857591847722,230816.24842150722,323165.8672396123,104436177748.73071,sampled,5,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,110.01038694381714,0.04567599296569824,-0.42343710218917496,233741.8441051754,329193.67340938444,108368474612.76448,sampled,5,72,success,small_in_context_10k,10K in-context learning with small test counties,7.0,0.013381012780023207,450.0,0.7598973957762631,0.6916816078690279,9.0,3.4515120531876695e-07,7.243363757769304,0.0007221657075197189,109.25604915618896
tabpfn,10000,9992,222,13.558654308319092,150.80877041816711,-0.20395328404954527,218687.5401590629,312679.4081687388,97768412292.75278,sampled,6,72,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,222,86.67474603652954,0.03691554069519043,-0.38175197258233373,235810.81692785773,334972.7742037881,112206759457.78201,sampled,6,72,success,small_in_context_10k,10K in-context learning with small test counties,7.0,0.017102339701601736,300.0,0.8056041258472394,0.7857365678766849,1.0,0.005793952256600046,3.0032575647632167,0.034594013659410554,86.00253653526306
