model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,target_fips,iteration,n_counties,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,10000,9992,234,52.14227104187012,167.8715033531189,0.07898309671339321,154074.25803555595,273133.1753333581,74601731467.68295,sampled,0,104,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,234,190.0675995349884,0.09820723533630371,0.08586519661600311,151867.96215558448,272110.7975451105,74044286140.63611,sampled,0,104,success,small_in_context_10k,10K in-context learning with small test counties,9.0,0.011426547472792288,800.0,0.976728197696968,0.6179790816841981,2.0,0.00019452469610282654,1.6412603794408773,8.327623757297905e-06,186.7725260257721
tabpfn,10000,9992,234,16.109812021255493,159.05109524726868,0.02492269663932123,155506.0452137494,271797.8226433202,73874056393.64973,sampled,1,104,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,234,125.94780397415161,0.03670644760131836,0.06242350510128947,150244.44248784232,266520.0002593819,71032910538.26093,sampled,1,104,success,small_in_context_10k,10K in-context learning with small test counties,5.0,0.011603619238777028,600.0,0.6717010182583074,0.6423242833708165,2.0,0.0007240616329204076,5.436241827564143,9.011193184335813e-08,125.17256474494934
tabpfn,10000,9992,234,15.24522614479065,158.79329562187195,0.04265873980690682,156842.2133775267,273881.2113572016,75010917934.48814,sampled,2,104,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,234,119.08384346961975,0.05276226997375488,0.047602053420888746,154696.69905769196,273173.19164483674,74623592633.4267,sampled,2,104,success,small_in_context_10k,10K in-context learning with small test counties,9.0,0.010199653083029048,350.0,0.9706619136243542,0.6957361593817144,10.0,4.781270422429108e-07,1.119608135929611,1.185278371646266e-08,117.91453528404236
tabpfn,10000,9992,234,15.17880916595459,159.65678453445435,0.10889614067701114,147512.31794831614,257065.5431155605,66082693457.29809,sampled,3,104,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,234,192.37049913406372,0.08998560905456543,0.06316897117359932,149945.02702450193,263578.7166046454,69473739846.95198,sampled,3,104,success,small_in_context_10k,10K in-context learning with small test counties,8.0,0.010701535897852556,950.0,0.9744692380236085,0.695045086081919,4.0,3.412125397229671e-06,7.571026611920344,5.6051080283282285e-06,189.86890411376953
tabpfn,10000,9992,234,15.851923942565918,158.81304812431335,0.09519795837372336,149008.17946117552,264034.5534281392,69714245403.9969,sampled,4,104,success,small_in_context_10k,10K in-context learning with small test counties,,,,,,,,,,
xgboost,10000,9992,234,186.61366295814514,0.0922400951385498,0.022851607267598273,155349.1389503579,274387.4480290265,75288471635.88171,sampled,4,104,success,small_in_context_10k,10K in-context learning with small test counties,8.0,0.010446510742398149,950.0,0.8444296572325272,0.6399874777817285,9.0,0.047319411002902906,4.782741542089226,0.0009607710606718969,184.60779786109924
