model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,50,39011,69,18.099804878234863,13.043165445327759,0.3485319765069337,164871.8189240695,264256.3259146461,69831405785.90767,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.4257314205169678,10.215144634246826,0.022704637813321105,184061.36989326729,323662.03433963837,104757112472.87326,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.4018535614013672,10.617340803146362,0.11658080993105158,181863.51704387064,307724.6278200425,94694446566.98367,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.39299869537353516,10.211394786834717,0.19338339327678478,176390.4635044843,294044.066446832,86461913012.58894,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.39598774909973145,10.070438146591187,0.28147218239745375,170894.11535989048,277524.055824819,77019601561.45728,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.4070858955383301,10.062241315841675,0.4031107535264291,159912.78393313746,252944.77803987308,63981060737.64066,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.39139747619628906,10.144730806350708,0.39189981521018913,159935.87448972726,255309.16680003196,65182770652.12654,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.38880133628845215,10.628658056259155,-0.09995448588705913,196554.9452902707,343373.04376702156,117905047185.82892,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.39875268936157227,10.172125816345215,0.34619506046717075,168385.8806262176,264729.8656805034,70081901783.21739,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,50,39011,69,0.39884209632873535,10.175875902175903,0.3723427173731956,159673.25206352054,259382.17446596976,67279112430.69478,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
