model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,50,42306,82,28.66466188430786,18.520869731903076,0.01333372102319963,266925.0342489836,1863355.0545559304,3472092059339.1343,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.351956844329834,11.609315156936646,0.02617075640591704,204642.0382311315,1851193.7654333108,3426918357179.159,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.32058072090148926,11.407574892044067,0.04030439679262665,238189.9992749994,1837711.0448516633,3377181884369.792,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.35528993606567383,11.898897647857666,0.048552089342219884,239272.2768457045,1829797.295352058,3348158142077.7065,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.3140444755554199,11.474379539489746,0.0212801597510196,221936.310526654,1855836.316420291,3444128433344.435,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.33504223823547363,11.650866270065308,0.0376818472365299,217537.48150454427,1840220.2781019313,3386410671937.5493,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.3416938781738281,11.875688076019287,0.03471657395416572,242410.99656741953,1843053.3114809261,3396845508960.8076,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.35110926628112793,11.830317258834839,0.020989685454621654,200593.16741271922,1856111.69285293,3445150616345.3696,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.35614442825317383,11.897341966629028,0.017198884362635614,200678.110342837,1859701.7225786543,3458490496962.0137,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,50,42306,82,0.3469092845916748,11.837408304214478,0.005365615726462991,226911.69764668428,1870863.9529064172,3500131930284.625,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.3436164855957031,11.620924711227417,0.030515611258190356,213338.59716189784,1847059.488441601,3411628753842.149,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.354703426361084,11.793492317199707,0.03057740118268193,196947.19978844607,1847000.6264907464,3411411314257.2095,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.4060349464416504,12.03837275505066,0.053257242273714644,215900.0391252866,1825267.2803997917,3331600644898.0513,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.3771083354949951,12.04297423362732,0.049342010420041715,205864.9530913907,1829037.5608658108,3345378399057.955,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.41193485260009766,12.1007080078125,0.039741711338778796,210689.34152310694,1838249.7061436544,3379161982137.232,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,100,42306,82,0.36072611808776855,11.79585862159729,0.056111915730243545,204597.89509023543,1822513.3772256987,3321555010166.6216,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
