model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,test_set_version,train_set_version,n_test_counties,n_train_source_test_history,n_train_source_external,status,experiment_name,experiment_description,result_type,test_fips,size_bucket,county_test_size,county_train_pool_size,county_train_used
xgboost,5000000.0,358081.0,107.0,893.006475687027,0.2815268039703369,0.7051767762653953,78406.91677907809,150200.93345697885,34.712251282560445,22560320411.34779,unknown,unknown,315.0,221612.0,4778388.0,success,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),,,,,,
xgboost,,,,,,0.4727769216705931,32766.25781250005,42929.10749480411,32.491910630784005,1842908270.3004465,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31007.0,tiny,4.0,3.0,3.0
xgboost,,,,,,0.6177147867847249,48764.78944515307,83499.06554702485,41.5542340326155,6972093947.226351,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48169.0,tiny,49.0,49.0,49.0
xgboost,,,,,,,2177.468750000058,2177.468750000058,1.6749759615385056,4741370.157226816,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,1087.0,tiny,1.0,1.0,1.0
xgboost,,,,,,0.8523370840609903,21400.12806919644,25180.884174614195,35.14588985730671,634076927.8153356,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29083.0,tiny,42.0,42.0,42.0
xgboost,,,,,,-2.126636497336567,25979.00976562501,28792.237267417488,53.99909091064591,828992926.8632644,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28021.0,tiny,6.0,6.0,6.0
xgboost,,,,,,0.4727837549492101,45396.36099567818,64716.49555908924,96.879930063526,4188224797.4496174,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,54105.0,tiny,47.0,47.0,47.0
xgboost,,,,,,-1.0688726585966704,138748.07343750005,166707.82176058058,63.75018876149676,27791497836.1575,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,35021.0,tiny,5.0,4.0,4.0
xgboost,,,,,,-0.0150781346757835,103009.72309523814,151287.13023532322,46.068578916745615,22887795774.839645,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2232.0,tiny,21.0,21.0,21.0
xgboost,,,,,,-1.5039993524587771,171021.40787499998,201467.2547336702,45.58044525943895,40589054729.92156,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48173.0,tiny,10.0,9.0,9.0
