model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,68,18,39,20.03320860862732,5.687218904495239,0.46536001829449136,38218.58550347223,59102.84106466734,3493145821.9153275,1011,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,6.724499940872192,0.0026540756225585938,0.15826876976134274,45783.132161458336,74159.08482036389,5499569861.393925,1011,small,0,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.020848902068401287,250.0,0.7006214637259076,0.9951222744166311,6.0,0.19554244943356341,0.10549744050522121,0.445853410696177,6.390227556228638
tabpfn,69,17,39,0.2713961601257324,0.13552618026733398,0.33577055684669255,66122.36448759188,109814.41588300717,12059205935.726057,1011,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,5.951882839202881,0.0025343894958496094,0.1431331877232247,75467.6956571691,124725.98882653234,15556572288.756271,1011,small,0,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.0653379163716437,100.0,0.8183349292716899,0.9080783540537721,4.0,0.5844458487288988,2.436685774247255,0.014815010159771411,5.928027629852295
tabpfn,69,17,39,0.27309584617614746,0.136368989944458,0.7279040603354918,73596.47449448532,114133.25598193525,13026400121.037958,1011,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,4.93269157409668,0.0025610923767089844,0.6846803275693714,63464.68807444855,122864.58265006218,15095705669.773958,1011,small,0,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,5.0,0.11934343410325822,150.0,0.9862511864029508,0.9412685588332652,10.0,0.12492000525845007,4.422915786685976,0.8902868541934592,4.905424356460571
tabpfn,69,17,39,0.2756516933441162,0.13505220413208008,0.7037428874202571,58157.962201286784,116570.06641246291,13588580383.406015,1011,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,5.944951772689819,0.0025811195373535156,0.39970459547144477,69876.23713235292,165933.9151666278,27534064202.525627,1011,small,0,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.1704202063735126,250.0,0.9063091755841352,0.8853473748463198,10.0,0.0768497572556789,1.745718728778158,1.314686503214697,5.908977746963501
tabpfn,69,17,39,0.2718486785888672,0.1352674961090088,0.37285199280341796,133926.80767463247,237300.22831884635,56311398360.17661,1011,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,7.28764009475708,0.0029573440551757812,0.24626476544704767,146102.5184972427,260149.22804995874,67677620854.98943,1011,small,0,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.012922339021140488,400.0,0.902514565197103,0.7870157806685327,10.0,0.024238310721636177,3.6470111066364854,0.17309548468562397,7.220017671585083
